"",weight
持ち,0.36516695930273
画質,0.319930373418434
バランス,0.230971407200533
使い勝手,0.210353290052702
操作性,0.148100140562663
携帯性,0.126835237966926
ホールド感,0.112281875190332
レスポンス,0.0966939902224986
写り,0.0771949219314982
質感,0.0680865204400939
デザイン,0.0675765168214647
もち,0.0624059814322953
コストパフォーマンス,0.0608277837545528
気持ち,0.0475656090739297
レンズ,0.035943165643099
精度,0.0357324403820481
発色,0.0341829980421323
位置,0.0312375128393423
ホールド性,0.0290518973251498
性能,0.0269591701352739
機能,0.0268454343044662
視認性,0.0265652559640817
色,0.026554114506191
描写,0.0253627833198767
評判,0.0239060119574421
感じ,0.0233182290214302
AF精度,0.023179637961026
解像度,0.0229929631847624
条件,0.0227401759051628
不満,0.0227061706562326
色乗り,0.0218421776223674
相性,0.0217523183892001
画像,0.0207002526373675
感触,0.0206983796844186
感度,0.0205535272823514
満足度,0.0191125426068986
AF,0.018884844517051
質,0.018824976330472
・画質,0.0178678991956868
目,0.0177424341284392
重さ,0.0172548213362982
反応,0.0167705352546819
液晶,0.0159152927821585
色のり,0.0152654808923725
グリップ感,0.0149321933029529
天気,0.0148906320355254
重量バランス,0.0143309920787609
解像感,0.0136225964390037
ハンドリング,0.0132541691088997
カメラ,0.0132502712545727
バッテリー,0.013242634493857
・操作性,0.0131010426772468
価格,0.0130210851708774
音,0.0122830618872324
ボケ,0.0113754415608565
見え,0.0113227806026188
コントラスト,0.0112974144918258
操作感,0.011068329774238
出来,0.010955047703627
ホールド,0.0105293351869272
大きさ,0.010281526240815
補正,0.0101299059286097
完成度,0.0100322253788293
値段,0.00986087572106706
問題,0.00952497564112596
切れ,0.00951717412291782
掛かり,0.00940315769008976
描写力,0.00929621144705626
ボケ味,0.00901698600386797
機能性,0.00881247552230667
フィーリング,0.00870671029013611
見た目,0.00852916749120769
気分,0.00813968571755558
機種,0.00809803132582053
ヌケ,0.00776418922676636
評価,0.00770437708830236
CP,0.00739165473309665
ボディ,0.00731822022836588
品質,0.00722093540864731
色合い,0.00709249070700003
グリップ,0.00695295932937425
サイズ,0.00682123800413984
音質,0.00680095160233047
映り,0.00667678971507875
部分,0.00666927793573526
取り回し,0.00661947113275587
・デザイン,0.00646416908103194
場合,0.00642795138544947
背面液晶,0.00628435385496961
シャッター音,0.00621151704751993
調子,0.00602444271601148
キレ,0.00600817418135575
収納性,0.00600633771334772
動画,0.00600352640733288
光,0.00590840019887987
表現力,0.00581192623169902
組み合わせ,0.00566596030854693
自分,0.0055887424651829
①操作性,0.00548918092432342
バッテリー持ち,0.0054315561921724
・携帯性,0.00540800637126815
見栄え,0.00538282195678419
人,0.00528028688470522
持ち運び,0.00525458472381139
ズーム,0.00518651765945913
付属ソフト,0.00510031890847909
よい,0.0050704587015595
(?),0.0050145753841605
全長,0.00498724401319381
ホワイトバランス,0.00497943550848399
作り,0.00496323797197002
使用頻度,0.00493433832164725
機動性,0.00489403443023732
ライン,0.00485007857461597
応答性,0.00483327007486158
取り付け位置,0.00480430897548728
汎用性,0.00469943715359699
3．ホールド感,0.0046513827875718
記述,0.00462540828211534
製品,0.00462182407375775
撮影,0.00461669607519521
D80,0.00461428572646592
電池持ち,0.00458297997721526
マッチング,0.00457759139902531
造り,0.00442662956393906
設定,0.0044045622485694
フットワーク,0.00426782989871243
センス,0.00423880972626108
全体的,0.0042296376540648
トータルバランス,0.00419960056172548
構造,0.0041748592057988
(9)携帯性,0.00417259566780494
(視力,0.00417259566780494
ボタン位置,0.00417259566780494
モチ,0.00417259566780494
半押し,0.00417259566780494
合わせ,0.00417259566780494
売れ行き,0.00417259566780494
始末,0.00417259566780494
少し分,0.00417259566780494
工作精度,0.00417259566780494
態度,0.00417259566780494
立て付け,0.00417259566780494
製造品質,0.00417259566780494
都合,0.00417259566780494
電力事情,0.00417259566780494
まとまり,0.00413165594970311
写真,0.00409820321866317
絵,0.00408802736651975
ボケ具合,0.00406499748119168
子供,0.00405867098697628
レンズ性能,0.00389274604341933
重量感,0.00374604115075678
画角,0.00373497906191634
ファインダー,0.00373025776948002
・ホールド感,0.00356348504380361
満足感,0.00354905540306557
高感度画質,0.0035477159422461
重い,0.00353242109670863
雰囲気,0.00346097431882307
程度,0.00341914040582312
ない,0.00336280191034417
違和感,0.00330558368666737
皆さん,0.00328849048223798
フラッシュ,0.0032879473063851
効果,0.00324174449238704
グリップ性,0.00320765011507685
出番,0.00318040093318604
指,0.00315751571194546
形式,0.00310818518302431
描写性能,0.00310474356248557
デジカメ,0.00309015551014724
ノイズ,0.0030515215753297
操作,0.00303879289632068
ホールディング,0.00297387980403128
画素数,0.00297190360840695
手触り,0.00289707040715337
利便性,0.00287144904559789
ライブビュー,0.0028575481255084
配置,0.00285514553895693
軽さ,0.00283050223306268
リング,0.00277557849519754
価格設定,0.00273956012342133
良さ,0.0027377170564787
EVF,0.00270122960947937
悪さ,0.0026667896166358
肌,0.00265893916087249
望遠,0.00260478771912811
ケース,0.00257016091226051
あと,0.00253206863619929
再現性,0.00252724019103688
他,0.00247773784607377
ボリューム感,0.00247401551723352
無い,0.00246555228601784
気,0.0024631318649433
画面,0.00242902495076913
(色調・解像度),0.00232569139378589
0付近,0.00232569139378589
1)機動性,0.00232569139378589
135mm近辺,0.00232569139378589
16-45mmf4,0.00232569139378589
2)バッテリー,0.00232569139378589
20mm,0.00232569139378589
2点,0.00232569139378589
3)コストパフォーマンス,0.00232569139378589
3．防塵防滴性能,0.00232569139378589
5．マクロ性能,0.00232569139378589
968C,0.00232569139378589
ADJボタン,0.00232569139378589
DA21mm,0.00232569139378589
FZシリーズ,0.00232569139378589
PF,0.00232569139378589
SR8,0.00232569139378589
「水族館」,0.00232569139378589
が,0.00232569139378589
アルミ・ボディ,0.00232569139378589
カラーナイトビュー,0.00232569139378589
コストメリット,0.00232569139378589
バリオテッサー,0.00232569139378589
ピンク,0.00232569139378589
フロントキャップ,0.00232569139378589
ホールド感),0.00232569139378589
・レンズ,0.00232569139378589
・描写,0.00232569139378589
中央,0.00232569139378589
修正,0.00232569139378589
問題無しホールド感,0.00232569139378589
工学ズーム,0.00232569139378589
液晶パネル,0.00232569139378589
濃さ,0.00232569139378589
画像処理エンジン,0.00232569139378589
画像編集メニュー,0.00232569139378589
竭。映り,0.00232569139378589
縦グリ,0.00232569139378589
肌触り感,0.00232569139378589
感想,0.00227835627550637
差,0.00226597973758037
追従性,0.00225201197853341
腕,0.00221409891723268
格好,0.00219174012909851
液晶画面,0.00212232315693916
重量,0.00210680107666854
対応,0.00210151233433039
文句,0.00209903451606993
出来栄え,0.00207202936011264
機能面,0.00205951037143344
感,0.00205658948380002
ストラップ,0.00205576169528563
印象,0.00201886459974043
価値,0.00198448331844448
クリック感,0.00195965315714918
よさ,0.00195679225243936
不満点,0.00195318004317512
焦点距離,0.00194007807954991
AF性能,0.00192799634838586
フード,0.00184198180255079
今,0.00183099146193958
画,0.00181488118800463
色ノリ,0.00175712105590002
可,0.00175691978792929
色味,0.00175459808115726
トルク,0.00175186040215077
品,0.0017495999895455
高感度,0.00173929446715098
マクロ,0.00171560329329652
使用感,0.00169444214964753
ホールディング性,0.00168146944338655
ダイヤル,0.00167071520541333
お買い得感,0.00166576384931769
ヒット率,0.00166272822643699
一眼,0.00164253830029561
手ブレ補正,0.0016364224127056
D200,0.00162793547223551
花形フード,0.00162380231153622
ストレス,0.00160393389959807
安心感,0.00160308594211711
タッチパネル,0.00159657876416327
レベル,0.00157661601190239
切れ味,0.00157467262046432
外観,0.00157247202301099
ピント精度,0.00155890429201543
階調性,0.00155089415702574
魅力,0.00154446840715793
素性,0.00151291418575771
状態,0.00148599904030946
ISO,0.00146271395961553
辺,0.00145617126967249
IS,0.00143147183658456
シャープさ,0.00142716579754723
ロック,0.00141479471598041
光量,0.001389177085486
仕上がり,0.00138529073117983
総合的,0.00137484977031813
コレ,0.00135704382610684
明るさ,0.00134026886073995
動き,0.00133296047279287
点画質,0.001329621820713
愛称,0.00132354603790802
速度,0.00131570219849927
基本性能,0.00130002848812348
つくり,0.00129622220724604
動作,0.00129445733438779
指かかり,0.00128778563302072
歩留まり,0.00128520085873356
個人的,0.00128441207640767
解像力,0.00127240357600029
商品,0.00126996181653344
D3,0.0012594786680153
歯切れ,0.00125182612708557
安っぽさ,0.00125128221429998
フルタイムマニュアル,0.00125061057033366
具合,0.00125060662431571
天候,0.00123771892230417
VR,0.00122338621675575
スタイル,0.00121357230390551
早さ,0.00120723581341386
コンデジ,0.00120561836010656
一眼レフ,0.00120330519226016
高さ,0.00119952458543425
ボタン類,0.00119015611550159
現在,0.00117963435173377
あたり,0.00117795569962671
ピント合わせ,0.00115999885558963
傾向,0.00115971237890832
ピクチャースタイル,0.00115772799418479
ノイズ処理,0.00114800238738545
分,0.00114586234572808
存在感,0.001139778299962
心配,0.00113477860040362
コスト,0.00112370886487672
露出補正,0.00112318910555504
表現,0.00111747985987131
ピント,0.00111607113757196
率,0.00111349991077647
顔認識,0.00111256090373148
写り自体,0.0011073597199316
広角,0.00109988519007714
重くもな,0.00109463888732165
これから,0.00108299238322498
28mm,0.00107523317686471
D40,0.00107237879685318
ボディバランス,0.00106948215955289
マクロ性能,0.00106948215955289
最近,0.00104363940897495
費用対効果,0.0010297775225237
色調,0.00102735764424895
使い方,0.00101985530673621
接写,0.00101880152156685
MF,0.00101348888562372
引っ掛かり,0.00100845502835361
5倍ズーム,0.000995760044014909
コストパーフォーマンス,0.000992747002377363
5D,0.000991944362562152
心地,0.000988163290872084
AF速度,0.000980585034272892
見え方,0.000972470094953487
中身,0.000970234013998203
今回,0.000968059167568473
価格差,0.000964817012603033
シャッターフィーリング,0.000950259448932851
一度,0.000945434530969994
不可,0.00094226140193915
支障,0.000932468236182067
高感度性能,0.000930726220515409
サービス,0.000930527918621868
普段,0.000920082831141935
望遠側,0.000915199690085682
G7,0.000913327864884071
赤,0.000901662963681485
・機能性,0.000900067058694089
WB,0.000898856197933244
速さ,0.000898817736089758
パソコン,0.000897416208116811
環境,0.000892253672313078
シャッター,0.000891576660248978
コンパクトデジカメ,0.000891294998614099
欠点,0.000884975886137325
信頼性,0.000882052550589432
違い,0.000876544624182143
趣味性,0.000875380929195652
モード,0.000873695654866879
フォーサーズ,0.000868803424651179
最短撮影距離,0.000868539144942373
調整,0.000859675082602687
連写機能,0.000853692665532827
マクロ撮影,0.000842208321097083
使用方法,0.000833870538561447
デジタル,0.000824043519492421
ボタン,0.000818806536425651
事,0.000809792768898891
設計,0.00080513450270131
◎画質,0.000800820976122891
単焦点,0.000797047964405051
立体感,0.000795625142928553
画質等,0.000789121568295187
再生,0.000788748725089635
補正機能,0.000785473655652449
ロゴ,0.000783844264710576
30D,0.00078303784742142
形態性,0.000781318050593466
実売価格,0.000770708033534175
本機,0.00076992555015664
範囲,0.000753079373296421
燃費,0.00075284799133901
基本的,0.000749510658417577
グリップ形状,0.000747715483289721
カッコ,0.000740312202606614
機動力,0.000735938499480067
静止画,0.000735891878182987
ズームリング,0.000735342219319552
