"",weight
が悪い,0.596926053893225
が良い,0.588649057148131
の良い,0.0693213465245016
は良いです,0.0395536391222138
が良く,0.0392660104478632
も良く,0.039264988684985
が良いです,0.0336238825162794
は良いと,0.0333228199504555
はありません,0.0312777996149871
がいいです,0.0281315181367149
がいい,0.0277408083747108
もよく,0.0237709458916158
がよい,0.0211973984223335
が良いと,0.0203057061511676
がよく,0.019101104502715
も良いです,0.0184511980047733
は思います,0.016738291612529
を考えると,0.0160288706854514
も良いと,0.0155953169938634
が悪いです,0.0153220513460625
もいいです,0.0150456061955308
のよい,0.0149171062137324
はいいと,0.0146631219849011
が悪く,0.01461707256963
は良好です,0.0144489701536364
も良い,0.0144480020615886
は良い,0.0140657786056733
の高い,0.013585644415508
が悪いと,0.013311231507717
が良いので,0.0131086628130657
はいいです,0.0126024576392573
は良く,0.0117767340360046
の取れた,0.0115848087189232
がいいので,0.0114844623026687
が高い,0.010981926979617
がいいと,0.00930286288873384
はいいですね,0.00913708235996214
は悪いです,0.00897381262337311
が良くない,0.00879665396683655
も良いので,0.00849253973025707
は感じです,0.00833428655693201
が良くて,0.00827458795151804
のとれた,0.00815227280220526
もありません,0.00799692948089779
が悪いので,0.00795492463768318
にありません,0.00795269948832253
は最高です,0.00778069306179224
は抜群です,0.00777285568379222
もいい,0.00751254543156975
もなく,0.00745622725672587
も良好です,0.0073110888212792
を考えれば,0.00704762621611732
が感じます,0.00693520899968694
がよいです,0.00692846829011977
はよいです,0.00661431296785153
はありませんが,0.00639843231016847
はします,0.00632265153289282
も良いし,0.0063100044641773
がいいですね,0.0062404909594995
も満足しています,0.00620251740208492
はありますが,0.00594538148475312
に優れた,0.00590787085714274
は良いのですが,0.00571583576618163
は方だと,0.00561389511187128
になります,0.0056055227800569
があり,0.00541831388042649
があります,0.00530611869236927
は良いですね,0.00519035621452244
がありません,0.00511673127275222
には満足しています,0.00505299101572991
が悪いのが,0.00505000809885004
はあります,0.00503337491999361
は思いますが,0.00493600465383793
の悪い,0.0048299632592363
も悪くなく,0.00481834080540025
は悪くないです,0.00472804084532303
は悪くないと,0.00462043877284758
はよいと,0.00458412863377793
は満足しています,0.0044916988204108
が悪いのと,0.00448779228502233
は高いと,0.00446352754572373
もいいですね,0.00442431869638258
は気に入っています,0.0044022504805587
も高く,0.00438812080755556
はいい,0.00436840051994756
がイマイチ,0.00431473312753639
という点では,0.00420960358452286
がある,0.00420057395812504
は感じます,0.00417749213162293
は高いです,0.00413760113235905
が悪いという,0.00413498115473557
に満足しています,0.00413383585796327
で決めました,0.00411068044914613
にある,0.00404393660981426
が良いとは,0.00402481046828801
がよいと,0.00399854054935138
は満足です,0.00397155787577599
をする,0.00393475378283246
と思います,0.00389897709457062
といい,0.00388765319172623
はあり,0.00384188176661385
が高く,0.00383179370130328
を考えて,0.00382638423920523
がよいので,0.00379473518199568
も思います,0.00377796781537295
がいまいち,0.00375250286271963
は落ちますが,0.00369727339687678
は悪い,0.00369467929970092
にありますが,0.00368309416082476
がよければ,0.0036551067009694
も良くて,0.00362144181488791
で満足しています,0.00360709398644756
は最高,0.00360093889028422
も含めて,0.00353919697281548
は感じません,0.00353031439647702
が高いです,0.00350063579141868
も悪い,0.00345056463848239
が悪かったので,0.00342247717080793
のある,0.0034005802570598
も良いですね,0.00339474674257825
もあります,0.00337760532916964
はよく,0.00332559441672165
は良いようです,0.00330804945093021
が良くなりました,0.00330009030533774
も良いですし,0.00328951985447915
もありますが,0.00323057714467123
はしました,0.00321872208878595
は十分です,0.00316437622613661
はものです,0.00313241597406033
はよい,0.00308353650137602
は感じました,0.00307238588230391
がよくない,0.00305800253149779
をします,0.00303483050822069
がなる,0.00303263052361055
はない,0.00303011548347958
にあり,0.00300863763663878
も気に入っています,0.00298840118723943
が悪いのは,0.0029847258015618
は良いですが,0.00297625903738783
もいいですし,0.00295438076436524
は劣りますが,0.00294532172180569
を重視して,0.00293874719473268
がします,0.0029189188371867
もよい,0.00291302767310546
は問題なし,0.00290715348965126
もよいです,0.00290213104463139
がなります,0.0028727170543158
は文句なしです,0.00285532231632676
も十分です,0.0028504581975498
が悪いような,0.0028155891654733
も秀逸です,0.00281356658333238
は最悪です,0.00280648278455406
もいいし,0.00273118673459612
は良いとは,0.00272501750482984
が好きです,0.00269720418444929
が高いので,0.00269089591635587
が違う,0.00266411786061332
を上げて,0.00265430352456243
はなく,0.00264331250617399
が良いという,0.00259825282619797
は悪くない,0.00259443999379486
が良いのか,0.00259131299475486
を求める,0.00258752705841367
はないので,0.00257458361697098
が劣る,0.00256649183170884
は悪いですが,0.00255860032811421
が短い,0.00253647222874839
は良いので,0.00251851881187507
もある,0.00251162011784519
もいいと,0.00251078456206069
がすばらしい,0.00249973141760792
はないと,0.00248722612619918
は良くなく,0.00247326439870025
も良好,0.00246265085451129
は好きです,0.00245360566674541
については思います,0.00243684791586166
は感じますが,0.00241847151164327
が悪くなる,0.00241467006127304
もいいので,0.00241378465094146
があると,0.00235458746683317
はしますが,0.00233910373403635
