"",weight
が悪い,0.651139392001119
が良い,0.625931811589199
の良い,0.085757956545146
が良く,0.0517245834097287
は良いです,0.0487084628538341
も良く,0.0480117502508239
が良いです,0.0414287535722075
は良いと,0.0410440854356209
はありません,0.0393063399447432
がいい,0.0339326135280023
がいいです,0.0339275973893603
もよく,0.0296915284758545
の高い,0.0258747850265079
がよい,0.0254138065623049
が良いと,0.0253123935723557
がよく,0.0246271428343417
も良いです,0.0235591005503726
は思います,0.0223813906525307
を考えると,0.0209902352259771
もいいです,0.0191203566955293
も良いと,0.0190466621003034
も良い,0.0185297470584552
のよい,0.0181431290254252
が悪いです,0.018116679112043
はいいと,0.0181038967616653
は良好です,0.0177965523906831
が悪く,0.0175936541605365
は良い,0.0173754635380049
が高い,0.0172062024856386
はいいです,0.0164467521069774
が良いので,0.0162202143660978
が悪いと,0.0160335953573962
の取れた,0.0147064602824658
は良く,0.0142875670629915
がいいので,0.0137301887645085
はいいですね,0.0113790065323046
がいいと,0.0112203815441149
は最高です,0.0107479302186326
もありません,0.0107203692421252
は悪いです,0.0106346481097227
にありません,0.0106096237410355
は感じです,0.0104894679516918
も良いので,0.0103368431914453
が良くない,0.0103344237850444
が良くて,0.00992484630700448
は抜群です,0.00984334152355103
を考えれば,0.00964762129014619
のとれた,0.00964495986112116
が悪いので,0.00945844513840407
もいい,0.00941921724610615
に優れた,0.00926403494645449
も良好です,0.00920088253954414
もなく,0.00872065103433073
は高いです,0.00860525168202071
が弱いです,0.00852975899135228
はありませんが,0.00842355605983358
も良いし,0.00837930988704676
は高いと,0.00832015648846149
が感じます,0.00826564387655606
がよいです,0.00823688769940502
はします,0.00803857252338518
も満足しています,0.00796930719541481
はよいです,0.00796089696410581
になります,0.00794408814766914
はありますが,0.00790735263788475
があり,0.0078990497544677
がいいですね,0.00758082401598376
があります,0.00745720952491329
は良いのですが,0.00715368174032416
はあります,0.00707824043486666
のある,0.00700998310085294
も悪くなく,0.00664687019062363
は方だと,0.00661301787651565
は良いですね,0.00654432602877073
には満足しています,0.00639314617555678
も高く,0.00637768713451408
の悪い,0.00620468984122329
がある,0.00618026886518667
は思いますが,0.00616433759847314
は悪くないです,0.00605520882066106
がありません,0.00600581818032407
が高く,0.00599307445011031
が悪いのが,0.00594817897809924
が高いです,0.00594402147323952
は満足しています,0.00575966824738959
はよいと,0.00575334696339845
もいいですね,0.00561432909182297
は気に入っています,0.00559471245709718
は悪くないと,0.00558216858648659
はあり,0.00552509644919913
をする,0.00548551010110567
は感じます,0.0054390992577047
は満足です,0.00542895853169162
はいい,0.00531371517703353
がイマイチ,0.00528662893039451
という点では,0.00522484840368519
に満足しています,0.00520635021757443
といい,0.00519900946956687
にある,0.00519649259417871
が悪いのと,0.00517221131382594
で決めました,0.00508275326553705
がよいと,0.00499392036308684
も思います,0.00498295735382988
と思います,0.00495622488003472
が悪いという,0.00491499303647611
が良いとは,0.00491460133973396
にありますが,0.00483000119971936
はしました,0.00479486191162111
で満足しています,0.00476981171947943
が良くなりました,0.00473758959364993
を考えて,0.00469489988546405
も含めて,0.00465797934264272
がよいので,0.00461839608448601
は感じません,0.00459115015509303
がいまいち,0.00456823012061276
は悪い,0.00455371314890192
は落ちますが,0.00450611717858176
は最高,0.00449886521899848
がよければ,0.00445600844642734
もあります,0.00439499232484839
も良くて,0.00437061468988691
はよく,0.00436794753140522
はものです,0.00432472106453408
もありますが,0.00428991197702087
をします,0.00419918159859148
が高いので,0.0041082431323357
も良いですね,0.00408435793482365
も悪い,0.00403753238439158
は十分です,0.00398956782856895
も良いですし,0.00396446898919331
にあり,0.00396442203547056
はよい,0.00393993322626034
が悪かったので,0.00393263394360472
を重視して,0.00393146243637824
は高い,0.00392997090868584
がなる,0.0039243011168684
は良いようです,0.00391400064816759
は良いですが,0.00390890098955292
も秀逸です,0.00390633665061683
は感じました,0.00387773972266325
になる,0.00386099213593769
も気に入っています,0.00381242199750069
はない,0.00377959660601175
が高いと,0.00375897360950683
は劣りますが,0.00373268945164399
もいいですし,0.00369223274519156
は文句なしです,0.0036569518086295
が違います,0.00363416838516536
がします,0.0036335598265552
が悪いのは,0.00361671625488212
もよいです,0.00359965892611476
は良いとは,0.00359235922729418
が良いのか,0.00358893545895992
がよくない,0.00357705659870825
があると,0.00354941646981869
は問題なし,0.00354687291987485
もよい,0.00351919427585993
はなく,0.00350300696046262
がなります,0.00350247042289835
もいいし,0.00349844270944426
はないと,0.00345852374645761
が好きです,0.00342273000283267
も十分です,0.00342108860567897
が悪くなる,0.00337748928619172
が違う,0.00337158645153962
は最悪です,0.00335732713829277
を求める,0.00334325121207935
もあり,0.00333367192567531
もいいと,0.00332252137299263
は好きです,0.00330396179652969
は最高だと,0.00328145499886487
を上げて,0.00326773873648938
は悪くない,0.00325874679236193
が悪いような,0.00323006253367654
もある,0.00322427181676371
は素晴らしいです,0.00322225442645725
がすばらしい,0.0032201622566169
があれば,0.00320815121835942
はないです,0.00318467862799087
はないので,0.00314214397421828
になり,0.00313944115305324
が劣る,0.00313424086373762
は良いので,0.00310695698536098
も良好,0.00310431826952837
は高く,0.00309820218084044
は文句なし,0.00309559526029821
は悪いですが,0.00309350275203489
が良いという,0.00306453056602821
にあります,0.00303911246295645
は最高ですね,0.00303082912909873
も抜群です,0.00302731581411668
については思います,0.00301720941351027
はしますが,0.00300529239006865
が取れた,0.002969559274475
は感じますが,0.00296037833424028
もいいので,0.00293644356778534
が短い,0.00293103694314171
をして,0.00292307236729616
が感じられた,0.00291345927234769
にはあります,0.0029029167511533
が気に入りました,0.00286595017695639
は良くなく,0.002855013924536
はほうだと,0.00279488526144955
は満点です,0.00277368741432765
に感じる,0.00276541664193296
はいいのですが,0.00276416357810484
がよくなった,0.00276296225448567
に優れ,0.00275121940966376
も十分,0.0027468174319765
はありませんでした,0.00271880308403504
が欲しい,0.00270855734785808
を考えたら,0.00270772786583912
はところです,0.00269775553618097
をしたのは,0.00269706646850331
はなりません,0.00268245372449173
が取れていると,0.00268143643037738
はいいし,0.00266401548101301
はよくない,0.00265525006797245
はそこそこですが,0.00262512824374198
