"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,は良いと,が良いです,はありません,の高い,がいいです,もよく,がいい,が良いと,を考えると,のよい,がよく,がよい,も良いと,は思います,も良いです,が高い,は良好です,の取れた,はいいと,が良いので,はいいです,は良い,が悪いと,もいいです,は良く,が悪く,も良い,のとれた,は高いと,がいいと,を考えれば,に優れた,もいい,が悪いです,は最高です,もありません,は高いです,がいいので,の悪い,は抜群です,があり,が良くて,は感じです,も良いので,も良好です,はいいですね,がよいです,はありませんが,は悪いです,がいいですね,はありますが,はあります,があります,になります,も満足しています,が感じます,はします,が高く,のある,が良くない,はよいです,もなく,も高く,といい
weight,"",0.00365326166269001,0.00243329757685572,0.00161461667848709,0.00149382294370443,0.0014726004528058,0.00138735043158145,0.00123646233440517,0.00123419163500099,0.00114573866472338,0.00111664933810506,0.0010451078300209,0.000998440735612175,0.000916851332284655,0.000841013476540068,0.000782560702156555,0.000772911979142253,0.000739110185553234,0.000719941162900563,0.000710528863332853,0.000686306355560789,0.000669836270392561,0.000640487756149977,0.000603153743159087,0.000572231980147092,0.000553819743740954,0.00054623582929947,0.000504017482409457,0.000477256864922737,0.00044962497756412,0.000447886555707127,0.000433721857392761,0.000426537475078069,0.000415032122532681,0.000402681763807213,0.000385397874397144,0.000376444938359352,0.000364131674974643,0.00036214408841107,0.000361296422257982,0.000360562836872084,0.000359834916386341,0.000339815796426156,0.000330715377276723,0.000330453176280292,0.000311671994840396,0.000301416422453202,0.000297394129653491,0.00029515689496421,0.000294740122596804,0.000289439636651552,0.000276894530016395,0.000270262246343562,0.00026359974918357,0.000261035998873024,0.000261014731147844,0.000259176242198935,0.000251977470315979,0.000250544627101432,0.000246534499224818,0.000241707322228148,0.000241038021965469,0.000240216375844715,0.000237433728490066,0.000224819209943473,0.000224655165418672,0.000222035899352346,0.000216287888787942,0.000213229980443603,0.000213049582230656,0.000209769927619962
レンズ,0.000775486271577315,5,1,1,1,1,10,2,0,8,0,0,0,1,2,0,0,0,0,0,6,0,0,0,0,3,0,4,1,0,0,1,0,1,0,1,1,0,0,3,0,0,1,1,0,2,0,5,1,1,0,0,1,0,2,0,2,2,4,0,3,0,1,6,0,0,0,2,1,0,1
発色,0.000740248929993098,1,0,3,2,3,2,0,0,1,0,0,6,3,0,0,1,1,0,0,2,4,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3,4,1,2,0,0,1,0,2,0,2
性能,0.000704667268920075,5,2,0,0,3,0,3,0,1,1,0,0,2,1,12,0,0,4,0,4,0,2,0,0,3,1,0,1,0,0,0,0,0,0,2,0,5,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,1,0,1,0,3,2,0,0,1,1,1,0,0,0,0,0,2
満足度,0.000704622493179622,0,0,0,0,0,0,0,0,1,45,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0
描写,0.000680161905979022,2,0,1,0,6,5,0,0,4,0,1,0,1,4,1,0,0,0,0,5,3,0,0,0,0,2,0,1,0,1,3,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,2,0,1,1,0,0,0,0,0,1,5,0,7,0,0,1,0,0,0,0,1,0,0
不満,0.000649306407371492,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,14,0,0,0,0,0,0,26,0,0,17,4,22,1,0,0,0,0,2,0,0,7,0,0
色乗り,0.000587486761523357,2,1,2,0,5,1,0,1,0,0,2,3,0,0,0,2,0,0,0,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
相性,0.000473917352861987,1,2,1,0,3,0,1,2,1,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,2,1,1,0,0,2,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
精度,0.00046862864926376,2,2,2,2,1,1,2,0,1,1,0,0,0,0,0,0,0,1,2,0,1,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0
価格,0.000455234089021558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,1,0,3,0,9,0,0,0,0,0,0,0,0,0,0,1,0,3,0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0
感触,0.000444798615492372,0,2,1,0,0,6,1,2,2,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
完成度,0.000434933057834516,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,3,0
天気,0.000431633569359044,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もち,0.000421435454148681,0,1,0,7,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
色のり,0.000416613992583148,1,0,1,0,0,1,1,1,0,0,1,6,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
解像度,0.000404065402039454,0,1,0,1,1,1,0,0,2,5,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,8,2,0,0,0,7,0
ホールド性,0.000401979122605674,0,1,4,2,0,2,0,2,1,0,0,0,1,0,0,0,1,0,0,1,0,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感じ,0.000387921622369399,0,4,0,0,0,3,1,1,6,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,6,2,5,22,0,0,4,0,0,0,1,0,0,0
質,0.000359649156041745,4,0,1,2,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
出来,0.000336425409315634,5,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
視認性,0.000329876595014084,2,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
コントラスト,0.00032668823516604,1,1,0,0,1,0,0,0,0,11,3,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0
値段,0.000324553560251891,0,0,0,0,0,0,0,1,0,1,0,0,0,0,27,0,0,0,0,2,0,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,1
カメラ,0.000316536138576205,3,0,0,0,0,2,1,0,6,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,1,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,3,0,3,0,0,2,0,0,0,0,0,0,0
液晶,0.000311798848152532,1,1,0,0,0,7,2,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,2
感度,0.00030696240073608,1,0,2,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
機能,0.000304236604757852,0,3,0,1,0,0,1,0,4,0,0,0,1,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,1,1,0,2,2,1,0,0,0,10,0,2,0,0,0,0,6,0,0,4,1,2,0,0,0,0,0,1,0,0,1,0,0
色,0.00029409099147396,0,1,0,2,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,1,0,0
バッテリー,0.000292636470480951,0,1,0,0,0,5,1,0,9,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,1,3,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0
大きさ,0.000290256311692302,0,0,0,0,1,2,1,2,2,0,1,0,1,0,8,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,1
重さ,0.000283462088446009,0,3,0,0,2,2,0,0,1,0,1,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,1,0,1,0,0,0,0,0
