"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,もよく,がいい,が良いと,のよい,を考えると,がよく,はありません,も良いと,の取れた,がよい,も良いです,は良好です,は思います,はいいと,が良いので,のとれた,は良い,が悪いと,はいいです,の高い,が悪く,は良く,もいいです,が高い,がいいと,も良い,を考えれば,が悪いです,もいい,がいいので,の悪い
weight,"",0.00176038429864206,0.001129191720965,0.000769097204950169,0.00067589533085597,0.00065013438252331,0.000585485323815549,0.000580101911480327,0.000549870590856201,0.000487456933058485,0.000443140374518793,0.000416855765608035,0.000408680591430594,0.000368645546195112,0.00035353626056848,0.000348342448829661,0.000345280372124502,0.000342013993141108,0.000309633291797623,0.00030031420387594,0.000294253675080482,0.000276808209351909,0.000268775145645355,0.00025089775107531,0.000246165921756349,0.000217890094227957,0.000208067313444338,0.000205382433388404,0.000204695616951287,0.000201235425327288,0.000196092643544823,0.000195405553002619,0.000180258692160222,0.000179708850241544,0.000176531633727089,0.000172643498345216,0.000166176734820694,0.000165995357712309,0.000146849398417461,0.000140448180036922,0.000136886933781639
質,0.000150499425729429,4,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,1
視認性,0.000142716187869401,2,2,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0
ヌケ,0.000122314923164011,5,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
値段,0.000118684459923334,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,9,0,0,17,0,0,0,0
感じ,0.000118364757613371,0,4,0,0,0,3,1,1,2,0,1,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
切れ,0.000118267226206538,4,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色,0.00011776276986661,0,1,0,2,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,2,1,0
反応,0.000113776910241912,2,0,1,2,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
重さ,0.000113199444775652,0,3,0,0,2,2,0,0,1,0,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,0,0,0
重量バランス,0.000112268476298198,0,0,3,1,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
感度,0.000110052976864016,1,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,1,0,0
大きさ,0.00010594736532208,0,0,0,0,1,2,2,1,1,0,1,0,0,8,0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0
カメラ,0.000103470704421739,3,0,0,0,0,2,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,3,1,1,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0
解像度,0.000101299952831688,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,2,0,5,0,1,0,6,0,1,0,1,0,0,0
液晶,9.77551801418198e-05,1,1,0,0,0,7,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
位置,9.76845309349628e-05,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1
操作感,9.76016171628489e-05,0,1,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0
機能,9.06978188137321e-05,0,3,0,1,0,0,0,1,0,0,1,0,0,8,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,1,0,0
取り回し,8.87040393855456e-05,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
コントラスト,8.84776408085121e-05,1,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0
音,8.83390715912245e-05,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
不満,8.71474421656092e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
条件,8.41384356268164e-05,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
ボケ,8.34993518804886e-05,0,1,0,0,4,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
描写力,8.25562239686072e-05,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,2,0
画像,8.04815458432162e-05,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0
補正,7.78127750223908e-05,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
色合い,7.71133027690284e-05,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
解像感,7.64651807070432e-05,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
ホールド,7.59538735301335e-05,0,1,0,0,0,5,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AF,7.30965913719494e-05,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
バッテリー,7.01535871661874e-05,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,9,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
AF精度,6.80649564250996e-05,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
ボケ味,6.53367122107816e-05,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,2,0,0
場合,6.19949893897233e-05,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,2,0,0,0,0,1,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
機能性,5.98211723096486e-05,0,0,1,0,0,3,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
・操作性,5.9601822249696e-05,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機種,5.94729174961777e-05,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
トータルバランス,5.91932014410518e-05,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
完成度,5.68805739970421e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,11,0,0,0,0,0,0,0
電池持ち,5.65139038027682e-05,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
満足度,5.58710521245535e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,45,0,0,0,7,0,0,0,0,0,0,0
程度,5.43748045912605e-05,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グリップ感,5.33792745515868e-05,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
見栄え,5.33140542438246e-05,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
キレ,5.30770002123691e-05,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
気分,5.30496283138251e-05,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
