"",weight,の良い,が良い,が悪い,も良く,が良く,は良いです,が良いです,は良いと,がいいです,はありません,がいい,もよく,が良いと,がよく,も良いです,がよい,は思います,を考えると,のよい,も良いと,は良好です,もいいです,はいいと,が良いので,はいいです,が悪く,が悪いです,の取れた,は良い,は良く,も良い,が悪いと,の高い,がいいので,が高い,がいいと,のとれた,もありません,は感じです,も良いので,もいい,は抜群です,は最高です,も良好です,はいいですね,が良くて,が良くない,は悪いです,を考えれば,がよいです
weight,"",0.0160590139823353,0.0147769122859324,0.01167469646704,0.00852513836386007,0.00850660750629231,0.00833539505577563,0.00730569878370859,0.00727829361715736,0.00627509036079681,0.00583593126638044,0.00561402967721614,0.00559274269988635,0.00476111442671803,0.00424197796722824,0.0040739572352072,0.00403917664416114,0.00390051980703364,0.00369963876047899,0.00368893783606377,0.00368300974327333,0.0035675647244127,0.00320044411735932,0.00313641677160095,0.00297348698730898,0.00294166735462762,0.00289985541288076,0.00282683732677767,0.00276661868756864,0.00272873881800862,0.00272445139997386,0.00264744685907665,0.00259916776782165,0.00237656599949062,0.00230104812349975,0.00223652772990123,0.0019712617504193,0.00194687981717793,0.00186594027514378,0.00183807882552757,0.00180919235421129,0.00180388728690966,0.00176313511577603,0.00175269585242795,0.00174088877140362,0.00165474480508652,0.00164572155640485,0.00161150504525849,0.00159596208486495,0.00158458789117956,0.00155214389070799
質,0.0016582079832582,4,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
重さ,0.00157350348973548,0,3,0,2,0,2,0,0,1,1,2,0,0,0,0,1,1,1,0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ味,0.00155663169966388,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,1,2,1,0,0,0,0,0
操作感,0.00154994104856378,0,1,0,0,0,1,0,1,0,0,2,2,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
大きさ,0.00151885636735813,0,0,0,1,0,2,2,1,1,2,1,0,0,0,0,0,0,8,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
重量バランス,0.00151034990049727,0,0,1,0,3,0,0,0,1,0,0,0,2,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
バッテリー,0.00148287252005889,0,1,0,0,0,5,0,1,0,9,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,4,0,0,0,0,0,1,0,0,3,0,0
位置,0.00147792842680948,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
カメラ,0.00147397427597169,3,0,0,0,0,2,0,1,0,6,0,0,1,0,0,0,3,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
液晶,0.00145901432585089,1,1,0,0,0,7,0,2,0,1,0,0,0,0,0,0,5,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
反応,0.00143453222385722,2,0,2,0,1,0,0,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像度,0.00139430682693526,0,1,1,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出来,0.00138266102103269,5,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写力,0.00136381981927609,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0
画像,0.00133448876039561,0,1,1,0,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0
ヌケ,0.00132577942904619,5,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
機能,0.00131730411550314,0,3,1,0,0,0,0,1,0,4,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,12,0
値段,0.00131074052750905,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,27,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
補正,0.00128481304939736,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,3,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,1,0,0
ボケ,0.00122550760338588,0,1,0,4,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0
AF,0.00122479204145196,0,1,1,0,0,2,0,0,1,6,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0
切れ,0.00122460908694742,4,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音,0.00119671409922558,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
取り回し,0.00115631367141778,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ホールド,0.00115220698348922,0,1,0,0,0,5,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
条件,0.00110841526348117,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
