"",weight,が良い,の良い,が悪い,が良く,も良く,は良いです,が良いです,は良いと,はありません,がいいです,がいい,もよく,が良いと,がよい,も良いです,がよく,は思います,を考えると,も良いと,のよい,は良好です,もいいです,はいいと,が悪いです,も良い,はいいです,が悪く,が良いので,は良い,が悪いと,は良く,の取れた,がいいので,の高い,が高い,がいいと,はいいですね,もありません,は感じです,は悪いです,にありません,もいい,が良くて,も良いので,のとれた,が弱いです,も良好です,が良くない,は最高です,を考えれば,は抜群です,が悪いので,はありませんが,も満足しています,が感じます,がよいです,はありますが,はよいです,はします,になります,があり,がいいですね,があります,も良いし,は良いのですが,はあります,もなく,は方だと,の悪い,は思いますが,も悪くなく,に優れた,には満足しています,は良いですね,をする,といい,にある,は満足しています,は気に入っています,が悪いのが
weight,"",0.0215177421855756,0.0210273030324816,0.0208800983272228,0.0118889350961891,0.0117511675905805,0.0117446895042678,0.00988435374330272,0.00969025711306782,0.00956799206230986,0.00818130766341302,0.00784724607489649,0.00747129782960267,0.00614870526831053,0.00589194280697465,0.00583042582024056,0.0057332217211543,0.00541927616468343,0.00480134588351312,0.00464494691515541,0.00463945192066129,0.0045288562401878,0.00452806951941139,0.00435815010577177,0.00420316736473687,0.00412968780782862,0.00408862720211063,0.00404933369404264,0.00389077033813524,0.00387665178605029,0.00371331844584782,0.00351247592544459,0.00335790518937014,0.00318935463632852,0.00318153002764139,0.00314679109882379,0.00271304644165531,0.00267596961721359,0.00266849320751104,0.00257073784011096,0.00254545068528703,0.00246836199823647,0.00246332785903133,0.00245075216554285,0.00242873601960887,0.00236297031844565,0.00235630316780403,0.00232935682454057,0.00231200364406221,0.00228382387599697,0.00228026775770209,0.00227269172355153,0.00223044503468764,0.00215861317947282,0.00205076711851419,0.0020004122362651,0.00198291708788969,0.00191996937259572,0.00191279440574864,0.00190258563026996,0.00188402295880035,0.00186127474710469,0.00184291737839983,0.00179528638104983,0.00179326736447863,0.00175825670252583,0.0017344453322919,0.00166578686991872,0.00159105296966989,0.00158629017468672,0.00152274824164975,0.00149765295329104,0.00149575804204453,0.00149223015902612,0.00146518431333119,0.00141172455637309,0.00141110495014039,0.0013960624818784,0.00138527077456023,0.00134237604386272,0.00134006157946879
気持ち,0.00793140999714336,7,13,0,0,0,0,2,0,1,9,9,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,0.00743373061342538,8,2,6,6,6,1,0,1,1,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
発色,0.00633103672500138,0,1,2,3,3,2,0,0,1,0,3,6,0,0,4,1,2,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,2,0,0,0,0,4,1,0,0,0,2,3,1,0,0,0,0,0,2,1,0,0,1,0,0,0,2,2,0,0,0,0
レンズ,0.00605581898162301,1,5,1,1,1,10,0,2,8,0,1,0,2,0,0,0,6,0,0,0,0,0,3,0,1,4,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,6,3,5,2,0,0,0,4,1,0,2,1,0,0,0,0,1,1,6,1,0,0
描写,0.00553875531107685,0,2,0,1,6,5,0,0,4,1,1,0,4,0,3,0,5,1,0,0,0,1,0,0,1,0,0,2,1,0,3,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,5,1,0,0,0,0,1,3,0,17,0,5,2,0,0
不満,0.00533285255777833,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,17,0,0,1,14,0,22,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0
評判,0.00531348508169032,1,14,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,6,0,0,1,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
もち,0.00527971910875072,1,0,7,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
性能,0.00510178302186691,2,5,0,0,3,0,0,3,1,0,2,0,1,4,0,0,4,12,0,0,0,0,3,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,1,0,1,0,2,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,1,0,0,1,2,0,0,3,0,0,0,1,0,0,1,0,0,2,1,0,1,0
色乗り,0.00456374558091906,1,2,0,2,5,1,1,0,0,2,0,3,0,0,2,0,1,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
相性,0.00394825396140071,2,1,0,1,3,0,2,1,1,0,0,0,2,1,3,0,0,0,0,0,0,2,2,0,0,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,0.00380862532707462,2,0,0,1,0,6,2,1,2,0,1,1,1,1,1,0,0,1,1,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AF精度,0.00380319857143657,0,1,2,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
精度,0.00342941200776168,2,2,2,2,1,1,0,2,1,0,0,0,0,1,1,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ホールド性,0.00335883171793954,1,0,2,4,0,2,2,0,1,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色のり,0.0032838894024883,0,1,0,1,0,1,1,1,0,1,0,6,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
感じ,0.00320845148705348,4,0,0,0,0,3,1,1,6,2,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,6,1,4,22,1,1,5,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
液晶,0.00319110704894226,1,1,0,0,0,7,0,2,1,0,0,0,0,0,0,0,5,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,2,0,2,0,0,0,2,1,2,2,0,0,0
視認性,0.00308809324824266,2,2,1,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,1,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
感度,0.00281698491693666,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
カメラ,0.00268945030183637,0,3,0,0,0,2,0,1,6,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,3,1,0,0,0,0,3,0,0,0,3,0,0,4,1,2,0,0,0,2,0
天気,0.00267187820740397,2,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
色,0.00265323622980035,1,0,2,0,1,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,2,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
価格,0.00257716527197146,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
バッテリー,0.0025555371786786,1,0,0,0,0,5,0,1,9,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
質,0.00254230176737647,0,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
画像,0.00250980746758358,1,0,1,0,0,2,0,0,3,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,5,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0
重さ,0.0024997648142679,3,0,0,0,2,2,0,0,1,1,2,0,0,1,0,0,1,1,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,4,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
機能,0.00246880033553952,3,0,1,0,0,0,0,1,4,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,2,12,0,0,6,0,0,0,4,0,0,0,10,0,2,0,0,1,1,0,0,1,0,1,3,0,0,0,0,1,0,0
位置,0.00245576140454231,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0
重量バランス,0.00236014946174344,0,0,1,3,0,0,0,0,0,1,0,0,2,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
解像度,0.00232086736392207,1,0,1,0,1,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大きさ,0.0022806437704569,0,0,0,0,1,2,2,1,2,1,1,0,0,0,0,0,0,8,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0
補正,0.00222060964169133,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,1,3,0,0,0,0,0
AF,0.00219074889653623,1,0,1,0,0,2,0,0,6,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,2,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ボケ味,0.00217841113603629,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,2,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作感,0.00215281830299196,1,0,0,0,0,1,0,1,0,0,2,2,0,1,0,0,0,0,0,0,2,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
出来,0.00213948379101278,1,5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
反応,0.00210575271590033,0,2,2,1,0,0,0,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
描写力,0.00209143813266088,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,2,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,3,0,0,0
問題,0.00206708561032537,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,2,0,4,0,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0
ボケ,0.00203115612504397,1,0,0,0,4,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,1,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0
解像感,0.00202372522571716,0,0,1,0,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,0,4,0,1,2,1,1,0,0,0,0,1,0,0,3,0,0,0,0
見た目,0.00198638859506338,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0
値段,0.00196105949294482,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,27,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
ボディ,0.00194141972864923,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ヌケ,0.00189785393503673,0,5,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ホールド,0.0018253263843545,1,0,0,0,0,5,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音,0.00181797385851469,0,0,1,0,1,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
条件,0.00176733335744078,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
切れ,0.00176629787196999,1,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機能性,0.00167982976190967,0,0,0,1,0,3,0,3,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
色合い,0.00165030976027559,0,1,0,0,1,0,0,1,0,0,0,2,0,0,1,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
取り回し,0.00159557028420567,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
コントラスト,0.00159427716486126,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
掛かり,0.00149928301762366,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
