"",weight,が良い,の良い,が悪い,が良く,も良く,は良いです,が良いです,は良いと,がいいです,がいい,もよく,はありません,が良いと,がよく,も良いです,がよい,は思います,も良いと,は良好です,を考えると,のよい,はいいと,もいいです,が良いので,が悪いです,の取れた,はいいです,は良い,が悪く,は良く,も良い,が悪いと,の高い,がいいので,が高い,のとれた,がいいと,は抜群です,は感じです,も良いので
weight,"",0.013363545338771,0.0120826573334412,0.0107310575633755,0.00786460706098435,0.00774600260623576,0.00750554962391127,0.00672584516661332,0.00665334269433915,0.00579873638879079,0.00518869676499133,0.00513863153252422,0.0049817408639117,0.00437128408742688,0.00392637633915398,0.0036309841560112,0.00349530184784877,0.00339486052806465,0.00334572936550408,0.00330508299334432,0.00326200151390155,0.00319153347487372,0.00285330367700382,0.00279659661505622,0.00270196075434883,0.0025955296012366,0.00258412074033403,0.0025322937572312,0.00246737815661492,0.00246298974749642,0.00245347831561474,0.00243543799499452,0.00240168519240076,0.00209454864068789,0.00203911079777781,0.00193576622306596,0.00181845533579061,0.00181423979551199,0.00162375275224363,0.00158551012054474,0.00156902604492036
色,0.00144801965374641,1,0,2,0,1,0,0,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0
質,0.00142256109627109,0,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0
重さ,0.00141601286854641,3,0,0,0,2,2,0,0,1,2,0,1,0,0,0,1,1,0,0,1,0,0,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
大きさ,0.00132155833887535,0,0,0,0,1,2,2,1,1,1,0,2,0,0,0,0,0,1,0,8,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
位置,0.0013206608535387,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0
操作感,0.00130239776513202,1,0,0,0,0,1,0,1,0,2,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1
重量バランス,0.00128306912666324,0,0,1,3,0,0,0,0,1,0,0,0,2,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
反応,0.00126796042374319,0,2,2,1,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
解像度,0.00126298024113945,1,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,5,0,6,0,0,0,0,0
不満,0.00125737229472532,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感度,0.00124193056515891,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0
