"",weight,の良い,が良い,が悪い,が良く,も良く,は良いです,は良いと,が良いです,はありません,がいいです,もよく,がいい,の高い,が良いと,を考えると,は思います,のよい,がよく,がよい,も良いです,も良いと,は良好です,が高い,はいいと,はいいです,の取れた,が良いので,は良い,も良い,もいいです,が悪いと,は良く,が悪く,のとれた,が悪いです,がいいと,もいい,もありません,が弱いです,は最高です,を考えれば,がいいので,に優れた,は感じです,は高いと,は抜群です,はいいですね,が良くて,があり,も良いので,の悪い,も良好です,はありませんが,は悪いです,はありますが,はあります,がよいです,がいいですね,も満足しています,があります,になります,はします,が感じます,が良くない,のある,はよいです,にありません,もなく,は良いのですが,は高いです,をする,といい,が悪いので,も悪くなく,が高く,も高く,は思いますが,には満足しています,はあり,は気に入っています
weight,"",0.00788073626628314,0.00562486996632364,0.00445385923344424,0.00365123046985981,0.00342770722938724,0.00330538677329687,0.00285265688332628,0.00280633772950209,0.00274545479001814,0.00240773110089653,0.00230369847730767,0.00217984984001438,0.00202449023284742,0.001905107919214,0.00172685534427493,0.00171859478977603,0.00168111115006375,0.00167938795277327,0.00164556807632589,0.0016164510179666,0.00158027393073017,0.00139154400988867,0.00130672698060421,0.00130405480751916,0.00124682732178002,0.00123350773121731,0.00122720538735686,0.00111452712542847,0.00110877248794523,0.00110654982128851,0.00102185270059503,0.00101861923605572,0.000986579595105084,0.00086802395900477,0.000866794882929181,0.000850926065906901,0.000826833468600944,0.000813099294945842,0.000801756480574298,0.000800767374780997,0.000790165322830625,0.000770838409007036,0.000739282523741701,0.00070812039758619,0.000703010440880845,0.000696037782377341,0.000682676655150418,0.000676591966977211,0.000674216482251239,0.000667727118781039,0.000662402148109427,0.000649085950793108,0.000630371689791874,0.000618256748890922,0.000604867628000259,0.000595884994838687,0.000592031797534567,0.000589591995880936,0.000586242463245296,0.000569193249761241,0.000567922336374725,0.000560332730891138,0.000545916846458105,0.00052437239389,0.000511263117283251,0.000511180259288327,0.00050758506273046,0.000499355771544011,0.000497781431273651,0.000496061759292345,0.000494933634305,0.000480848765241433,0.000476628947899765,0.000472073628734602,0.000467138804088307,0.000450774339242554,0.000437400890504059,0.000431407804826089,0.00042996892379246,0.000426750049643412
レスポンス,0.00202729361320624,2,8,6,6,6,1,1,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
レンズ,0.00186432755690169,5,1,1,1,1,10,2,0,8,0,0,1,0,2,0,6,0,0,0,0,0,0,0,3,4,0,0,1,1,0,0,1,0,0,0,1,3,1,0,0,0,0,0,1,1,0,1,1,5,0,2,0,2,0,2,4,0,2,0,0,3,6,1,0,0,2,1,1,0,1,1,1,0,0,0,0,1,0,5,0
評判,0.0018210678419882,14,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,1,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
発色,0.00181194174795069,1,0,2,3,3,2,0,0,1,0,6,3,0,0,0,2,1,1,0,4,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,3,2,1,1,0,0,0,2,0,0,2,2,0,1,0,0,0,0,1,0
描写,0.0016532639273184,2,0,0,1,6,5,0,0,4,1,0,1,0,4,1,5,0,0,0,3,0,0,0,0,0,0,2,1,1,1,0,3,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,1,0,1,0,0,1,5,0,0,0,0,7,1,0,0,0,0,0,1,0,1,17,0,0,0,0,0,0,3,4,0
性能,0.00163394644748428,5,2,0,0,3,0,3,0,1,0,0,2,1,1,12,4,0,0,4,0,0,0,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,0,0,2,0,0,0,0,1,0,0,3,0,1,0,2,0,1,1,0,0,0,1,0,0,1,0,2,0,0,1,0,1,1,0,1
不満,0.00155286023421213,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,14,0,0,0,26,0,17,4,0,0,0,22,1,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
色乗り,0.00133957369639035,2,1,0,2,5,1,0,1,0,2,3,0,0,0,0,1,2,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
満足度,0.00122808887561699,0,0,0,0,0,0,0,0,1,0,0,0,45,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,68,0,0,0,0,2,0,1,0,0,0
相性,0.00113843295764843,1,2,0,1,3,0,1,2,1,0,0,0,0,2,0,0,0,0,1,3,0,0,0,2,1,0,1,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
もち,0.00111533432885047,0,1,7,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
精度,0.00107584476996232,2,2,2,2,1,1,2,0,1,0,0,0,1,0,0,0,0,0,1,1,2,0,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0
AF精度,0.00107391389748075,1,0,2,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0
感触,0.00106493276194367,0,2,0,1,0,6,1,2,2,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
色のり,0.00102318347479245,1,0,0,1,0,1,1,1,0,1,6,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
価格,0.000994099680215726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,0,0,1,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0
ホールド性,0.000946639044975161,0,1,2,4,0,2,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,3,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天気,0.000940285631058366,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像度,0.000939278052358733,0,1,1,0,1,1,0,0,2,0,1,0,5,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,1,0,8,7,0,0,1,0
感じ,0.000907679201585474,0,4,0,0,0,3,1,1,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,2,1,1,0,5,22,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カメラ,0.000845125420334167,3,0,0,0,0,2,1,0,6,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,3,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,4,1,2
視認性,0.000842444009936926,2,2,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
完成度,0.000819066855889127,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,0
質,0.000814024318180837,4,0,2,1,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
液晶,0.000791906709959539,1,1,0,0,0,7,2,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,2,0,0,0,0,2,0,1,0
出来,0.000741663855434089,5,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機能,0.000741363446711606,0,3,1,0,0,0,1,0,4,0,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,2,12,0,1,2,0,0,0,0,10,0,0,0,6,0,4,1,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,3,0,0
色,0.000720894088810559,0,1,2,0,1,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
感度,0.000715859296241662,1,0,2,2,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
値段,0.00071516160919711,0,0,0,0,0,0,0,1,0,0,0,0,1,0,27,2,0,0,0,0,0,0,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,2,0,0,1,0,0
バッテリー,0.000707671367419996,0,1,0,0,0,5,1,0,9,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
重さ,0.0006945037621485,0,3,0,0,2,2,0,0,1,1,0,2,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,2,0,0,0,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
コントラスト,0.000690888876636164,1,1,0,0,1,0,0,0,0,3,0,0,11,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
画像,0.00068880160161818,0,1,1,0,0,2,0,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,1,5,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,1
大きさ,0.000684418065475717,0,0,0,0,1,2,1,2,2,1,0,1,0,0,8,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
重量バランス,0.000677034497978182,0,0,1,3,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
補正,0.000652664576057383,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,3,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,9,1,0,2,0,0,1,0,0,0,0,0,7,0,0,3,0,1,3,0,0,0,0,0,0,0,1,0
ボディ,0.000651543870503296,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
描写力,0.000631872374035322,0,0,0,0,1,1,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,3,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AF,0.000629572888782578,0,1,1,0,0,2,0,0,6,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,2,3,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ヌケ,0.000626959479019605,5,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像感,0.00062666217460267,0,0,1,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,8,0,0,0,1,0,1,2,0,0,0,4,0,0,0,0,6,0,0,1,1,0,0,3,0,0,2,0,0,1,0,0
ボケ味,0.000620021623280845,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,1,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作感,0.000608951588617747,0,1,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
切れ,0.000597690726453412,4,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ,0.000588824798818865,0,1,0,0,4,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
位置,0.000585907530933328,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
反応,0.000582936688760757,2,0,2,1,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
問題,0.000580648285970238,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,6,1,0,0,0,4,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
機能性,0.000530930759669963,0,0,0,1,0,3,3,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,1,2,0
ホールド,0.000520716283709963,0,1,0,0,0,5,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
色合い,0.000518997583320245,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
音,0.000498012388252043,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
条件,0.000485769795138739,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見た目,0.000484172847324755,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0
掛かり,0.000482433163493499,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
