"",weight,が悪い,が良い,の良い,が良く,は良いです,も良く,が良いです,は良いと,はありません,がいい,がいいです,がよい,もよく,が悪いです,がよく,が良いと,も良いです,もいいです,が悪く,も良い,は良い,が悪いと,はいいと,は思います,がいいので,も良いと,を考えると,は良好です,が良いので,は良く,はいいです,が良くない,にありません,のよい,は悪いです,はいいですね,が悪いので,も良いし,もなく,の取れた,も良いので,がいいと,が高い,が良くて,は感じです,の高い,もありません,は抜群です,は方だと,が感じます,も良好です,はよいです,がよいです,は最高です,が悪いのが,がありません,のとれた,はします,が悪いのと,がいまいち,が弱いです,を考えれば,も満足しています,は良いのですが,がいいですね,もいい,は良いですね,はありませんが,になります,と思います,はありますが,は悪くないです,がイマイチ,には満足しています,がある,も悪くなく,が悪いという,が悪かったので,にありますが,も悪い,は感じません,はいい,は思いますが,は悪くないと,はよいと,という点では,がよければ,に満足しています,に優れた,が感じられた
weight,"",0.105160398357212,0.0571877124599582,0.0228782716542856,0.0197971465814028,0.018216385512796,0.0173000018963319,0.0155858512468762,0.0150670447063468,0.013972201235213,0.0137489865379093,0.0126366826786548,0.0103544909096774,0.00930920533105479,0.00903191879511597,0.00872286418925784,0.00867781245103491,0.00820238747952253,0.0077857486644545,0.00777912227909904,0.00742089439520349,0.00686680636699427,0.00650354489320258,0.0064478917358431,0.00638944142671609,0.00610120047279304,0.00593758220032852,0.00592070265528819,0.00581671967873558,0.00538108724144337,0.00521147339745145,0.00516763423634381,0.00501583817276714,0.00494195565401459,0.00475607872977727,0.00466188160863559,0.00466130917386324,0.00457055795781301,0.004382914540636,0.00431981005852459,0.00417848800055265,0.00406046964084974,0.00393174998316729,0.00381889008702067,0.0037937666630636,0.00374764104522361,0.00362398172621249,0.00345609128415647,0.00336278226719812,0.00334109895161973,0.00329227742438693,0.00326678002056654,0.00319790728560017,0.00306037775935563,0.00304398972976525,0.00300761248731903,0.0029675934058654,0.00294041748187038,0.0027902908545878,0.00276958543066584,0.00270583816541903,0.00269730690013741,0.00268073350280694,0.00258038234699058,0.00253625276410472,0.00251645050241174,0.00250145516833788,0.00250120020285519,0.00246690618188132,0.00244555454107648,0.00238882111315043,0.00233150615817565,0.00230850520828914,0.00230796005768935,0.0022880656164185,0.00227418982842748,0.00227132550431642,0.00225724127335185,0.00225469878296979,0.00221417483836049,0.00221183949887706,0.00220743407985238,0.00215243437570298,0.0021075334267673,0.00209843863028665,0.00204270838584882,0.00199313698930601,0.00198720698349744,0.00197936634271209,0.00196479910313871,0.00196191667121014
機能,0.00518187203867034,1,3,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,12,0,0,0,1,0,6,0,4,4,0,0,3,5,0,0,0,0,0,1,0,1,0,0,1,0,5,1,0
画像,0.00515710093672531,1,1,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
条件,0.00510967950142831,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
液晶,0.00496454856311273,0,1,1,0,7,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
反応,0.00487564525639505,2,0,2,1,0,0,0,2,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像度,0.00480986112009239,1,1,0,0,1,1,0,0,2,0,0,0,1,1,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
重さ,0.0045688118502813,0,3,0,0,2,2,0,0,1,2,1,1,0,0,0,0,0,2,0,3,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
重量バランス,0.00455524347537338,1,0,0,3,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色のり,0.00446360128379034,0,0,1,1,1,0,1,1,0,0,1,0,6,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AF,0.00429065768051151,1,1,0,0,2,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
バッテリー,0.00425880094914149,0,1,0,0,5,0,0,1,9,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,4,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
カメラ,0.0039665829186198,0,0,3,0,2,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3,16,1,0,0,4,2,0,0,0,0,0,0,2,3,1,1,0,0,1,0,0
問題,0.0038839420195325,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,1,6,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
音,0.00383689285553144,1,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド,0.0038322671909895,0,1,0,0,5,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
解像感,0.00379503043346107,1,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ハンドリング,0.00356287814989832,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
大きさ,0.00348939326352826,0,0,0,0,2,1,2,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,8,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
見た目,0.00347253657143148,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
操作感,0.00344333679459358,0,1,0,0,1,0,0,1,0,2,0,1,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ,0.00337621392012798,0,1,0,0,1,4,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
天気,0.0033524331053274,0,2,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
・画質,0.00333409955315769,1,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
グリップ感,0.00330576492513567,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
補正,0.00328469531863152,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,3,0,1,1,0,0,2,1,0,0,0,1,2,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
価格,0.0032710613026334,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ味,0.0032308225562406,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
