"",weight,の高い,の良い,が悪い,が良い,は高いです,が高い,も良く,は良いです,が良く,は高いと,は良いと,が良いです,はありません,に優れた,もよく,が弱いです,は思います,を考えると,がいいです,が高いです,がいい,も良いです,がよく,がよい,が良いと,が高く,は最高です,はいいです,も良いと,も良い,が高いと,は高い,は良好です,のよい,も高く,があります,はいいと,が良いので,もいいです,が高いので,は良い,はしました,はあります,は良く,を考えれば,があり,は抜群です,は5です,のある,が悪いと,もありません,も良好です,は感じです,がいいので,もいい,が悪く,に優れている,はいいですね,の取れた,が悪いです,は高く,は満点です,がいいと,はありますが,はします,がある,も高い,はありませんが,は悪いです,といい,があると,も良いので,は最高だと,は最高ですね,も満足しています,が良くて,にありません,はあると,がいいですね,のとれた,は抜群,は良いのですが,をしました,もいいですね,がよいです,は思いますが,はあり,は素晴らしいです,になります,はよいです,はしましたが,は良いですね,も含めて,が悪いので,はものです,はよいと,が低い,が感じます,の悪い,もなく
weight,"",0.0437423730576648,0.027520314166759,0.024973805984666,0.0246495300871507,0.0198884508607762,0.0195925829263813,0.0154895151902758,0.0154136181796132,0.0149819375733161,0.0149031794406287,0.01423463790321,0.0120227296691086,0.0119821128731001,0.0112910180828164,0.0106750447668972,0.0102637396695267,0.0101662407890669,0.00996126001225247,0.0099167181372955,0.00991145324449174,0.00896697872379826,0.00840473498892026,0.00832829649204356,0.0079261424938002,0.00775243797173916,0.00714495970280391,0.00688150671148771,0.00667230932639182,0.00651571880281016,0.00649025801562462,0.00648951072085954,0.0064507667468536,0.00608426797619968,0.0060622930051047,0.006048907729235,0.00596891161757933,0.00569750518370239,0.00559356163207463,0.00551552308064749,0.00549164599896927,0.00515035500834316,0.00500352129091854,0.00443351365472608,0.00442685862382593,0.00436978970377703,0.00434541559927857,0.00404562876471121,0.00404281740670886,0.00401737807856279,0.00396072105836316,0.00388152578216109,0.00383055983072266,0.00375820850994109,0.00372664213659655,0.00372631186671056,0.00361326105419532,0.0036058027396279,0.00360162990849233,0.00359463434531559,0.00353040692633858,0.0034643271140292,0.00319894097989713,0.00317591607077254,0.00313540572729334,0.00305772715755533,0.0030067793176074,0.0029573305540452,0.00290138154732062,0.00284721110995206,0.00284300075739404,0.00283533148453107,0.00282021636633965,0.00279670466879847,0.00274072698767536,0.00273077166424041,0.00269105188267957,0.00259091754860247,0.00257093814757117,0.0025663898941661,0.00252955750225912,0.00252263690586124,0.00251969325500366,0.00248108323492529,0.00243701008558812,0.00242817490352912,0.00242195501140996,0.00241674249088864,0.00237256990143764,0.00236818733808494,0.00235720246219797,0.00234555475980445,0.00234314886005008,0.00229930370384269,0.00229691428039137,0.00227794975452763,0.00222492826071348,0.00215643026723751,0.00214601038420664,0.00213762174299868,0.00210885955326187
ホールド感,0.022562191897509,0,3,5,3,1,1,6,14,5,0,4,2,9,0,5,0,4,0,1,0,1,4,1,0,1,1,0,2,0,1,0,0,9,0,0,1,0,3,3,0,7,2,3,1,1,2,4,0,0,0,5,2,3,1,3,3,0,0,0,0,0,1,1,0,3,0,0,2,1,2,1,4,0,0,2,1,2,0,0,0,0,3,0,0,1,2,2,0,0,2,2,1,0,0,0,1,0,1,0,0
完成度,0.0180853486034795,37,0,0,0,3,11,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,3,1,0,0,3,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
デザイン,0.0161128058880391,0,1,0,7,0,0,7,2,3,0,11,2,0,0,1,0,11,0,0,0,1,2,1,1,1,0,2,3,4,2,0,0,1,0,0,0,6,2,3,0,2,1,2,0,0,0,0,1,1,0,1,0,5,0,2,0,0,0,0,0,1,1,1,4,3,0,0,2,0,1,0,0,1,1,1,0,0,5,4,0,0,2,0,0,0,3,5,0,1,1,0,2,2,0,0,3,0,0,0,0
写り,0.016007384419763,0,7,2,4,0,0,4,4,4,0,5,1,6,0,1,0,4,0,1,0,5,0,0,0,2,0,4,7,2,2,0,0,1,1,1,0,2,1,0,0,3,0,1,2,2,0,0,0,0,1,8,0,1,2,3,0,0,4,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,1,1,2,0,0,0,2,1,3,0,1,0,0,0,3,2,0,0,0,0
解像度,0.0122757854193849,5,0,1,1,2,6,1,1,0,0,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,8,0,0,0,1,0,0,0,0,7,0,0,0,0,2,1,1,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,4,0,0,1,1,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0
評価,0.0119353743111688,12,1,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,1,0,0,3,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,4,1,4,0,0,0,3,0,0,0,0,0
AF精度,0.0106953854393457,1,1,2,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
レンズ,0.0100507386318942,0,5,1,1,1,0,1,10,1,1,2,0,8,0,0,0,6,0,0,0,1,0,0,0,2,0,0,4,0,1,0,1,0,0,0,0,3,0,0,0,1,2,4,1,0,5,0,0,0,0,1,0,1,0,3,0,0,1,0,0,0,0,1,2,6,5,0,2,0,1,2,0,0,1,0,1,1,4,2,0,0,0,0,0,0,1,5,0,3,2,0,0,2,0,1,0,0,1,2,1
性能,0.0098626569258405,1,5,0,2,1,2,3,0,0,2,3,0,1,0,0,0,4,12,0,0,2,0,0,4,1,1,0,0,0,0,1,0,0,0,0,2,3,1,0,0,1,0,3,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,4,0,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,1,0,0
気持ち,0.00963654452394893,0,13,0,7,0,0,0,0,0,0,0,2,1,0,0,0,0,0,9,0,9,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
レスポンス,0.00941121682613194,0,2,6,8,0,0,6,1,6,0,1,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
価格,0.00920062410996955,0,0,0,0,1,9,0,0,0,3,0,0,0,0,0,0,3,45,0,1,0,0,0,1,0,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
精度,0.00911146020090874,1,2,2,2,1,4,1,1,2,0,2,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,2,0,0,3,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
使用頻度,0.00888370505750167,10,0,0,0,2,11,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
コントラスト,0.00878546129004324,11,1,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
発色,0.00826838146269322,0,1,2,0,0,0,3,2,3,0,0,0,1,0,6,0,2,0,0,0,3,4,1,0,0,0,2,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,1,0,2
描写,0.0080895017900082,0,2,0,0,1,0,6,5,1,0,0,0,4,1,0,0,5,1,1,0,1,3,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,5,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,7,0,1,0,2,0,0,0,0,0,0,1
評判,0.00807579892218298,3,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,1,0,3,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
不満,0.00772206312615683,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,4,0,0,14,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,17,0,16,0,26,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
ボディ,0.00738147783490965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
値段,0.00707165749579444,1,0,0,0,1,9,0,0,0,0,0,1,0,0,0,0,2,27,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,1
満足感,0.006767462941763,7,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
解像感,0.00633487200146961,1,0,1,0,0,2,2,1,0,2,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,2,0,0,1,0,1,1,0,0,0,4,0,0,0,0,0,0,2,0,0,8,0,0,6,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
色乗り,0.00606862776841504,0,2,0,1,0,0,5,1,2,0,0,1,0,0,3,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
掛かり,0.00584090590100859,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もち,0.00526675138095799,0,0,7,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
相性,0.00518933457058055,0,1,0,2,0,0,3,0,1,0,1,2,1,0,0,0,0,0,0,0,0,3,0,1,2,0,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CP,0.00509952749797683,4,0,0,2,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色のり,0.0048680459674038,0,1,0,0,0,0,0,1,1,0,1,1,0,0,6,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
カメラ,0.00486798452932543,0,3,0,0,0,1,0,2,0,1,1,0,6,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,2,2,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1,1,3,0,1,1,0,0,1,1,0,0,0,0
感触,0.00486736318089151,0,0,0,2,0,0,0,6,1,0,1,2,2,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
機能,0.00473931556033282,0,0,1,3,1,0,0,0,0,0,1,0,4,1,0,0,1,8,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,12,10,0,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,4,0,5,0,6,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1
描写力,0.00462570625229728,0,0,0,0,0,1,1,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,2,1,0,4,1,0,0,0,0,4,0,1,1,0,2,0,0,0,3,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
液晶,0.00457026408389161,0,1,0,1,0,0,0,7,0,0,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,0,1,0,2,0,0,0,0,0,1,0,0
感度,0.00455561224212518,2,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
感じ,0.00447307630067386,0,0,0,4,0,0,0,3,0,0,1,1,6,0,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,0,2,0,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,4,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0
機能性,0.00446729664623276,0,0,0,0,0,1,0,3,1,0,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,0,0,2,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,3,2,1,0,1,3,0,0,0,1,1,0,0,0,0
ホールド性,0.00442407605337028,0,0,2,1,0,1,0,2,4,0,0,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
質,0.0043722211312417,2,4,2,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
視認性,0.00411984783767802,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
バッテリー,0.00409950888819557,0,0,0,1,0,1,0,5,0,0,1,0,9,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,1,1,6,2,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0
補正,0.00395849769143243,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,7,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,5,0,9,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,3
汎用性,0.0036658926476279,2,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
