"",weight,画質,持ち,バランス,使い勝手,操作性,携帯性,ホールド感,写り,デザイン,質感,レスポンス,気持ち,もち,コストパフォーマンス,発色,描写,レンズ,色乗り,性能,感触,評判,相性,精度,ホールド性,視認性,位置,色,感じ,重さ,AF精度,解像度,色のり,不満,画像,感度,質,反応,操作感,重量バランス,条件
weight,"",0.0525727680670413,0.0454070190939459,0.0435472198834068,0.0355174925307667,0.029224576056204,0.0247470338648382,0.0204222791547614,0.0140662369621174,0.0128891078262819,0.0119432892185094,0.011712266911652,0.0107048931505215,0.00803489788954069,0.00763575191565681,0.00724497633530842,0.00624860473355845,0.00587993684667917,0.0057329208212875,0.00561888464567174,0.00558140395336088,0.00545054255346932,0.00514840504547562,0.00504502352264929,0.00500192220620468,0.00497340471991713,0.00419577046262367,0.00409090833043946,0.00405922903979829,0.00390165861052485,0.00364225540961047,0.0035447809715004,0.00345429376493275,0.00340924593728561,0.00337364312199322,0.00329430183790641,0.00318964684588327,0.00314472734508893,0.00305439707460657,0.00300688405351208,0.00290940886672978
が悪く,0.00246298974749642,0,6,2,1,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,1,1,1,1,0,0,0
は良く,0.00245347831561474,7,2,3,1,2,4,1,2,0,0,1,0,0,0,0,3,1,0,0,0,1,2,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
も良い,0.00243543799499452,10,4,1,1,8,1,1,2,2,6,1,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,3,0,1,0,0,1,0,0,0,2,0,0
が悪いと,0.00240168519240076,4,6,4,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,1,0,0,0,2
の高い,0.00209454864068789,0,0,2,0,0,0,0,0,0,5,0,0,0,36,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,1,5,0,0,0,2,2,0,0,0,0
がいいので,0.00203911079777781,1,6,0,1,2,5,1,2,0,0,1,1,1,1,0,1,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
が高い,0.00193576622306596,0,0,2,0,3,1,1,0,0,9,0,0,0,14,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0
のとれた,0.00181845533579061,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいと,0.00181423979551199,1,2,4,3,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は抜群です,0.00162375275224363,1,1,1,0,6,17,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じです,0.00158551012054474,2,2,0,0,3,2,3,1,5,4,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0
も良いので,0.00156902604492036,0,4,3,0,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
もいい,0.00156654272343885,4,0,2,1,5,0,3,3,2,0,0,0,0,1,1,1,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
は最高です,0.00154990781837183,7,1,0,2,1,1,0,4,2,4,0,0,0,9,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
もありません,0.00151717428830357,6,0,0,1,1,1,5,8,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,15,1,0,0,0,0,0,0
が良くて,0.0014965098258103,2,2,1,1,0,1,1,2,0,1,1,0,1,0,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良好です,0.0014884351453953,2,1,0,1,3,0,2,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
が良くない,0.001485180506922,1,5,1,1,1,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
がよいです,0.00145094657850867,0,1,0,5,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
を考えれば,0.00144663955981796,2,0,5,0,1,3,1,2,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
は悪いです,0.00143579422142937,3,6,1,0,3,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
