"",weight,の良い,の高い,が良い,が悪い,が良く,が高い,も良く,は良いです,は高いです,は良いと,が良いです,はありません,は高いと,がいいです,を考えると,もよく,がいい,が良いと,は思います,に優れた,のよい,も良いと,がよく,がよい,が高いです,も良いです,は良好です,はいいと,の取れた,が良いので,が高く,はいいです,は最高です,は良い,を考えれば,は高い,が悪いと,もいいです,も良い,は良く,が高いと,も高く,が悪く,があります,のとれた,が弱いです,があり,もいい,もありません,が悪いです,がいいと,が高いので,はしました,がいいので,は感じです,はあります,は抜群です,はいいですね,の悪い,のある,も良いので,が良くて,はありますが,も良好です,はします,はありませんが,は高く,がよいです,がいいですね,も満足しています,になります,が感じます,は悪いです,は5です,といい,は最高だと,が良くない,もなく,にありません,も高い
weight,"",0.000427504911889754,0.00040042725181006,0.000289893339303285,0.000221297653754261,0.000185040152510071,0.000180484940585151,0.00017506731686921,0.000168098314907822,0.000163853257066856,0.00015560508900101,0.000140566845563371,0.000133677858957384,0.000128533358967911,0.000119322916899391,0.000117049779178087,0.000116716526258733,0.000107108041633971,9.84691427875501e-05,9.21190329428936e-05,8.90472600586265e-05,8.74299648667869e-05,8.54673694998035e-05,8.44962817995227e-05,8.11839131554998e-05,7.8623430545362e-05,7.78422877034726e-05,6.88991787923847e-05,6.59063063949712e-05,6.49751954263621e-05,6.3527424513504e-05,6.347129751337e-05,6.17616143528015e-05,6.08931227230394e-05,5.5330323330012e-05,5.41401904899732e-05,5.41257016407982e-05,5.34313457167373e-05,5.32826218475019e-05,5.28846588913126e-05,5.23790280160832e-05,5.22010591956776e-05,5.19124910333612e-05,5.0437889278378e-05,4.73714047160606e-05,4.5723285670403e-05,4.41916497790829e-05,4.35586602352891e-05,4.32486244851943e-05,4.30099705974302e-05,4.29173964216484e-05,4.28145102565074e-05,4.18397516519416e-05,4.1115899706994e-05,4.01770193993353e-05,3.87838842614164e-05,3.83914614748241e-05,3.75282059620297e-05,3.60560606435611e-05,3.57192791003233e-05,3.52998493328927e-05,3.42559406585378e-05,3.39365271128228e-05,3.23956907424234e-05,3.20475025162552e-05,3.18951003646035e-05,3.17897455628854e-05,3.01006021806371e-05,2.97763414607436e-05,2.95606128713865e-05,2.94723446717476e-05,2.86829088840137e-05,2.85838089186131e-05,2.84025890995029e-05,2.72626490726144e-05,2.69736980692562e-05,2.64376613751541e-05,2.5574342305139e-05,2.5356338340355e-05,2.52487575940051e-05,2.50987213391528e-05
完成度,0.0001614189116773,0,37,0,0,0,11,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,1,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
デザイン,0.000149832484130718,1,0,7,0,3,0,7,2,0,11,2,0,0,0,0,1,1,1,11,0,0,4,1,1,0,2,1,6,0,2,0,3,2,2,0,0,0,3,2,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,5,2,0,0,0,1,0,0,4,0,3,2,1,0,4,1,1,0,0,1,1,1,0,0,0,0
気持ち,0.000126923005781933,13,0,7,0,0,0,0,0,0,0,2,1,0,9,0,0,9,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,1,0,0,0
解像度,0.000104418817801424,0,5,1,1,0,6,1,1,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,8,0,0,1,0,0,2,0,1,1,0,7,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,2,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2
評判,0.000103898671655701,14,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,0.000102001984945295,2,0,8,6,6,0,6,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
性能,0.000101359732983246,5,1,2,0,0,2,3,0,1,3,0,1,2,0,12,0,2,1,4,0,0,0,0,4,0,0,0,3,0,1,1,0,0,1,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,2,0,0,1,1,1,0,1,0,0,1,0,0,2,0,0,0,1,0
レンズ,9.8829818982613e-05,5,0,1,1,1,0,1,10,1,2,0,8,1,0,0,0,1,2,6,0,0,0,0,0,0,0,0,3,0,0,0,4,0,1,0,1,0,0,1,1,0,0,0,0,0,0,5,3,1,0,1,0,2,0,1,4,0,1,2,0,0,1,2,0,6,2,0,0,2,0,3,1,0,0,1,0,0,1,1,0
価格,9.13205559616912e-05,0,0,0,0,0,9,0,0,1,0,0,0,3,0,45,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,27,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3
発色,9.07032213233003e-05,1,0,0,2,3,0,3,2,0,0,0,1,0,0,0,6,3,0,2,0,1,0,1,0,0,4,1,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,3,1,1,0,2,0,1,2,0,1
精度,8.77218238332738e-05,2,1,2,2,2,4,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,3,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1
評価,8.46397234387792e-05,1,12,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0
描写,8.44736861576107e-05,2,0,0,0,1,0,6,5,1,0,0,4,0,1,1,0,1,4,5,1,0,0,0,0,0,3,0,0,0,2,0,0,1,1,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,1,2,1,1,1,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0
不満,7.88422486817718e-05,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,14,0,15,0,0,0,0,0,0,4,0,0,0,2,0,0,17,0,0,26,0,0,0,0,1,0,0,0,0,0,0,7,0,0
コントラスト,7.79888221684948e-05,1,11,1,0,0,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
使用頻度,7.74070438009053e-05,0,10,0,0,0,11,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
色乗り,6.85062949605967e-05,2,0,1,0,2,0,5,1,0,0,1,0,0,2,0,3,0,0,1,0,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
