"",weight,の良い,が良い,が良く,が悪い,も良く,は良いです,が良いです,は良いと,がいいです,もよく,がいい,が良いと,のよい,がよく,も良いと,を考えると,はありません,の取れた,がよい,も良いです,は良好です,は思います,が良いので,はいいと,のとれた,が悪いと,は良い,の高い,はいいです,が悪く,は良く,がいいと,が高い,もいいです,も良い,を考えれば,が悪いです,の悪い,もいい,がいいので
weight,"",0.000188878398043976,0.000113584883485756,7.75537753307995e-05,6.65652082306681e-05,6.47595652941391e-05,5.77468617731612e-05,5.76423001521366e-05,5.40935875734468e-05,4.89588729994604e-05,4.4592005629457e-05,4.21383247812736e-05,4.09488541196505e-05,3.84528178388493e-05,3.50404921665245e-05,3.41329525025619e-05,3.40118791631204e-05,3.36270389084838e-05,3.12501228890424e-05,3.02310617932374e-05,2.89821536972411e-05,2.72113915246547e-05,2.64430801484549e-05,2.53368109737354e-05,2.49688838286882e-05,2.1990827218215e-05,2.09370139913917e-05,2.08471799540448e-05,2.02919893296292e-05,2.00978040997327e-05,1.99084824017838e-05,1.94626188633261e-05,1.78561931062681e-05,1.76878967836268e-05,1.74266472317625e-05,1.70487070607132e-05,1.64610949348462e-05,1.62948092153766e-05,1.58907563527442e-05,1.48611339273524e-05,1.40168081485097e-05
バランス,0.000245693385587809,20,14,10,6,6,5,7,8,3,5,4,9,6,5,11,8,0,27,3,4,3,0,2,4,19,4,2,2,0,2,3,4,2,0,1,5,2,0,2,0
画質,0.000166258256760372,2,24,6,12,14,13,6,19,6,11,9,13,1,1,6,2,18,0,1,5,2,28,5,11,0,4,7,0,11,0,7,1,0,9,10,2,4,2,4,1
使い勝手,0.00013846553489904,12,17,10,7,4,10,15,5,12,4,1,6,5,5,1,4,4,0,6,1,5,1,3,3,0,1,1,0,3,1,1,3,0,1,1,0,2,0,1,1
操作性,0.000101466753656754,4,4,8,6,12,6,4,10,3,5,1,2,0,3,6,3,11,0,2,9,6,11,2,9,0,0,2,0,4,0,2,0,3,3,8,1,2,1,5,2
持ち,9.20642000584431e-05,0,22,0,30,0,5,4,6,1,0,9,2,0,1,0,0,7,0,6,0,0,0,2,0,0,5,3,0,1,6,2,1,0,0,0,0,9,0,0,6
携帯性,8.49383561999633e-05,11,6,2,3,12,3,5,12,1,6,1,1,0,0,2,3,11,0,3,2,3,12,1,0,0,2,3,0,10,2,4,1,1,1,1,3,1,0,0,5
ホールド感,6.67503926139993e-05,3,3,5,5,6,14,2,4,1,5,1,1,0,1,0,0,9,0,0,4,9,4,3,0,0,0,7,0,2,3,1,1,1,3,1,1,0,0,3,1
写り,5.3661474900043e-05,7,4,4,2,4,4,1,5,1,1,5,2,1,0,2,0,6,0,0,0,1,4,1,2,0,1,3,0,7,0,2,1,0,0,2,2,0,0,3,2
気持ち,4.8594280449551e-05,13,7,0,0,0,0,2,0,9,0,9,0,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
デザイン,4.60525785179622e-05,1,7,3,0,7,2,2,11,0,1,1,1,0,1,4,0,0,0,1,2,1,11,2,6,0,0,2,0,3,0,0,1,0,3,2,0,0,0,2,0
質感,4.50552649036052e-05,1,4,5,1,5,4,2,4,1,2,4,1,0,1,3,0,2,0,1,2,1,2,0,2,0,0,0,5,5,0,0,0,9,5,6,0,0,0,0,0
評判,3.88207305685704e-05,14,1,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,1,0,0,0,1,0,0,3,2,2
レスポンス,3.62605273908135e-05,2,8,6,6,6,1,0,1,0,0,1,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1
コストパフォーマンス,3.59394745341907e-05,5,5,1,0,1,4,0,8,0,1,1,2,0,0,2,10,0,0,3,0,0,2,0,1,0,0,0,36,1,0,0,0,14,0,0,3,0,0,1,1
発色,2.70232252536736e-05,1,0,3,2,3,2,0,0,0,6,3,0,1,1,0,0,1,0,0,4,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
レンズ,2.68115533030071e-05,5,1,1,1,1,10,0,2,0,0,1,2,0,0,0,0,8,0,0,0,0,6,0,3,0,0,1,0,4,0,1,1,0,0,1,0,0,2,3,0
性能,2.57387609889879e-05,5,2,0,0,3,0,0,3,0,0,2,1,0,0,0,12,1,0,4,0,0,4,1,3,0,0,1,1,0,0,0,0,2,0,0,5,0,0,0,1
描写,2.50961087920225e-05,2,0,1,0,6,5,0,0,1,0,1,4,0,0,0,1,4,0,0,3,0,5,2,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,1,1
色乗り,2.48111389325444e-05,2,1,2,0,5,1,1,0,2,3,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
天気,2.18643355887639e-05,15,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
相性,2.00260200358638e-05,1,2,1,0,3,0,2,1,0,0,0,2,0,0,0,0,1,0,1,3,0,0,1,2,0,0,0,0,1,0,2,2,0,2,0,0,0,0,0,0
色のり,1.78878965064763e-05,1,0,1,0,0,1,1,1,1,6,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ホールド性,1.75988080495215e-05,0,1,4,2,0,2,2,0,0,0,1,0,0,1,0,0,1,0,0,0,3,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
精度,1.72696249604176e-05,2,2,2,2,1,1,0,2,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0
出来,1.64896069563155e-05,5,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0
感触,1.63874911049777e-05,0,2,1,0,0,6,2,1,0,1,1,1,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0
価格,1.56897638928099e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,1,27,0,0,0,0
質,1.56260907591743e-05,4,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,1,0,0
もち,1.5236431959067e-05,0,1,0,7,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1
視認性,1.44915888866969e-05,2,2,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0
ヌケ,1.28189578881226e-05,5,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
切れ,1.22961589570124e-05,4,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色,1.17913700776103e-05,0,1,0,2,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,1
感じ,1.17771271538732e-05,0,4,0,0,0,3,1,1,2,0,1,0,0,0,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
値段,1.15866929593922e-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,9,1,0,17,0,0,0,0
反応,1.15617159897966e-05,2,0,1,2,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
重さ,1.12683226901664e-05,0,3,0,0,2,2,0,0,1,0,2,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,3,0,0,0,0,0
重量バランス,1.12276446757323e-05,0,0,3,1,0,0,0,0,1,0,0,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
感度,1.11460796630549e-05,1,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,1,0
カメラ,1.05978160119322e-05,3,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0,3,1,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0
大きさ,1.04618719728616e-05,0,0,0,0,1,2,2,1,1,0,1,0,0,0,1,8,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0
解像度,1.01159953045935e-05,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,1,5,0,0,1,0,6,0,1,0,1,0,0,0
位置,9.83282041125346e-06,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,1
液晶,9.76204756470546e-06,1,1,0,0,0,7,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
操作感,9.72687996239017e-06,0,1,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0
取り回し,8.97867118797879e-06,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
機能,8.97129352377167e-06,0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,8,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,1,0
コントラスト,8.95168673739071e-06,1,1,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,0
音,8.87217809798857e-06,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
