"",weight,の良い,の高い,が良い,が悪い,が良く,が高い,も良く,は良いです,は良いと,は高いです,が良いです,はありません,は高いと,がいいです,を考えると,もよく,がいい,は思います,が良いと,に優れた,がよく,も良いと,のよい,がよい,も良いです,が高いです,の取れた,は良好です,はいいと,は最高です,が良いので,はいいです,が高く,も良い,は良い,を考えれば,もいいです,が悪いと,が高いと,も高く,は良く,は高い,が悪く,があります,のとれた,があり,もありません,もいい,がいいと,が悪いです,がいいので,が高いので,はしました,はあります,は感じです,は抜群です,はいいですね,も良いので,が弱いです,のある,の悪い,はありますが,が良くて,はします,はありませんが,も良好です,は悪いです,になります,も満足しています,がいいですね,がよいです,は高く,が感じます,は最高だと,といい,はよいです,もなく,は良いのですが,は5です,が良くない,もいいですね,も高い,にありません,も含めて,はよいと,がある,は良いですね,をする,は思いますが,が悪いので
weight,"",0.00102235896426085,0.000965038802045353,0.000717446145536917,0.000515774688152427,0.000461544151922737,0.000429334864769252,0.000425480099532965,0.000416229572467081,0.000386796261320472,0.000378389086367997,0.000340517073483093,0.000339193000066143,0.000315633257012889,0.000292437092625062,0.000290859780816653,0.000289405649331894,0.000265052279223591,0.000243867183148834,0.000241567052773452,0.00022842798449199,0.000214285376184085,0.000210520201169141,0.000210394383258838,0.000209589201033115,0.000196765062915085,0.000186595330010679,0.000185004097267568,0.000168420653544012,0.000162951145756796,0.000155341902485417,0.000152857677879641,0.000151869178565209,0.00015009432189489,0.000138052341354965,0.000136197107419185,0.000135446458487394,0.000130335514491899,0.000128126186503943,0.000127548616022735,0.000127150672142324,0.000126338002764979,0.00012491490437028,0.000120265366547749,0.000116909323910369,0.000111478469258651,0.00010773777291512,0.000106439611394737,0.000106390932358253,0.000103952594104621,0.000103036294006945,9.91173435583675e-05,9.79894119367981e-05,9.64539559122528e-05,9.63002238135471e-05,9.59752373661531e-05,9.49129900365845e-05,9.36219322553238e-05,9.07562117466271e-05,8.71922640346577e-05,8.70595352248665e-05,8.40986758297803e-05,8.25968780557089e-05,8.18345438887419e-05,7.96645256412773e-05,7.93960368019441e-05,7.92337825753523e-05,7.33422367547224e-05,7.29685323718943e-05,7.23417079307198e-05,7.1975418027021e-05,7.11524836188274e-05,7.0538087466111e-05,6.97872911533587e-05,6.82921044827005e-05,6.72617229874126e-05,6.2697232831389e-05,6.25422671214985e-05,6.23015984062338e-05,6.19318457302201e-05,6.13468962477204e-05,6.12993785985812e-05,6.11062821394154e-05,6.10126000953296e-05,6.04978378067436e-05,5.97037510920172e-05,5.89686827894558e-05,5.87944471320154e-05,5.85273287081809e-05,5.80057789748044e-05,5.789650360655e-05
質感,0.000554918118268606,1,5,4,1,5,9,5,4,4,2,2,2,2,1,0,2,4,2,1,0,1,3,0,1,2,2,0,1,2,4,0,5,6,6,0,0,5,0,2,4,0,2,0,3,0,4,0,0,0,0,0,0,0,6,4,0,1,0,0,2,0,3,1,1,1,2,0,0,1,2,0,0,1,0,4,1,1,1,0,0,0,0,0,3,0,1,1,0,1,0
写り,0.000430227902485843,7,0,4,2,4,0,4,4,5,0,1,6,0,1,0,1,5,4,2,0,0,2,1,0,0,0,0,1,2,4,1,7,0,2,3,2,0,1,0,1,2,0,0,0,0,0,8,3,1,0,2,0,0,1,1,0,4,0,0,0,0,1,2,2,0,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,2,0,0,18,0,0
デザイン,0.000409595691590569,1,0,7,0,3,0,7,2,11,0,2,0,0,0,0,1,1,11,1,0,1,4,0,1,2,0,0,1,6,2,2,3,0,2,2,0,3,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,2,5,0,0,0,0,1,0,4,0,3,2,0,0,1,1,4,0,1,0,1,1,1,0,2,1,0,0,0,0,2,3,0,2,0,3,0
完成度,0.00038829945940077,0,37,0,0,0,11,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,1,0,0,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,0.000309018013737949,13,0,7,0,0,0,0,0,0,0,2,1,0,9,0,0,9,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
解像度,0.000257263462850104,0,5,1,1,0,6,1,1,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,1,1,0,0,2,0,7,1,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1
レンズ,0.000256565292264416,5,0,1,1,1,0,1,10,2,1,0,8,1,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,3,0,0,4,0,1,1,0,0,0,0,0,1,1,0,0,0,5,1,3,1,0,0,0,2,4,1,0,1,0,0,0,2,2,1,6,2,0,0,3,0,2,0,0,1,0,1,2,1,0,0,0,0,0,1,2,0,5,0,1,1,0
レスポンス,0.000252064291559745,2,0,8,6,6,0,6,1,1,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
性能,0.000250761213979104,5,1,2,0,0,2,3,0,3,1,0,1,2,0,12,0,2,4,1,0,0,0,0,4,0,0,0,0,3,0,1,0,1,0,1,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
評判,0.000250275281466532,14,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
価格,0.000228236439401348,0,0,0,0,0,9,0,0,0,1,0,0,3,0,45,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,27,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0
発色,0.000226356201660782,1,0,0,2,3,0,3,2,0,0,0,1,0,0,0,6,3,2,0,0,1,0,1,0,4,0,0,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,3,4,0,0,0,1,0,2,0,2,0,0,1,0,1,0,1,0,0,0,2,0,0
精度,0.000217854178451239,2,1,2,2,2,4,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,3,0,2,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
描写,0.000213909351937057,2,0,0,0,1,0,6,5,0,1,0,4,0,1,1,0,1,5,4,1,0,0,0,0,3,0,0,0,0,1,2,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,1,0,0,0,1,2,1,0,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,17,0,0
評価,0.000208821569590948,1,12,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,4,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,2,1,0
不満,0.000206353636661508,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,14,15,0,0,0,0,0,0,4,0,0,0,0,0,2,0,17,0,0,26,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,16,0,0,0,0
コントラスト,0.000188332623112842,1,11,1,0,0,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
使用頻度,0.000184547576714774,0,10,0,0,0,11,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
色乗り,0.000174720709183002,2,0,1,0,2,0,5,1,0,0,1,0,0,2,0,3,0,1,0,0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
値段,0.000169715909528985,0,1,0,0,0,9,0,0,0,1,1,0,0,0,27,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0
AF精度,0.000147176491736436,1,1,0,2,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
解像感,0.000144252055952383,0,1,0,1,0,2,2,1,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,4,0,8,0,0,0,0,0,0,0,2,1,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,1,1,0,0,0,3,0,0,0,2,0,0,0,0
相性,0.000143030233874256,1,0,2,0,1,0,3,0,1,0,2,1,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,2,1,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
満足感,0.000138076303396718,0,7,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
色のり,0.000136554668721692,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,6,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
もち,0.000135963726520459,0,0,1,7,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
感触,0.000132616184773686,0,0,2,0,1,0,0,6,1,0,2,2,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
質,0.000121928544111687,4,2,0,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天気,0.00012103884267739,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド性,0.000119995014357638,0,0,1,2,4,1,0,2,0,0,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感じ,0.000119939242716309,0,0,4,0,0,0,0,3,1,0,1,6,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,5,0,1,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,6,0,4,0,0,0,22,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
液晶,0.000116482257925579,1,0,1,0,0,0,0,7,2,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,2,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,2,1,2,0
カメラ,0.000116123612443228,3,0,0,0,0,1,0,2,1,0,0,6,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,1,1,0,0,0,0,1,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3,0
視認性,0.000113712002117403,2,0,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
機能,0.000113106335827006,0,0,3,1,0,0,0,0,1,1,0,4,0,0,8,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,12,0,0,0,0,0,0,0,2,0,10,2,1,0,0,0,0,0,1,2,0,0,0,0,1,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0
感度,0.000111885682143411,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写力,0.000109518196304313,0,0,0,0,0,1,1,1,1,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,4,0,0,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
出来,9.4365419530966e-05,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
バッテリー,9.33401204447128e-05,0,0,1,0,0,1,0,5,1,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,1,0,0,0,0,1,0,6,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0
補正,9.22727087789228e-05,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,3,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0,2,0,0,7,0,0,0,0,9,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,1,3,0,0
AF,9.11386416836586e-05,0,0,1,1,0,0,0,2,0,1,0,6,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,3,0,0,0,2,0,0,0,2,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
大きさ,9.10603043052312e-05,0,0,0,0,0,0,1,2,1,0,2,2,0,1,8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0
画像,8.97776872114809e-05,0,0,1,1,0,0,0,2,0,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0
重さ,8.91138596858771e-05,0,0,3,0,0,0,2,2,0,0,0,1,0,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,2,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0
色,8.84928402990845e-05,0,0,1,2,0,0,1,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CP,8.68008967200287e-05,0,4,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機能性,8.51113648893993e-05,0,0,0,0,1,1,0,3,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0
ヌケ,7.96815925400585e-05,5,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ味,7.91610289559451e-05,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
