"",weight,の良い,が良い,の高い,が悪い,が良く,も良く,は良いです,は良いと,が良いです,はありません,もよく,がいいです,が高い,がいい,を考えると,が良いと,がよく,は思います,は高いです,も良いです,のよい,がよい,も良いと,の取れた,は良好です,は高いと,が良いので,はいいと,はいいです,に優れた,は良い,も良い,もいいです,が悪いと,は最高です,は良く,が悪く,を考えれば,が高いです,のとれた,がいいと,もいい,が悪いです,もありません,が高く,がいいので,があり,は感じです,が弱いです,があります,も良いので,はいいですね,は抜群です,も高く,はあります,の悪い,が良くて,は高い,も良好です,はありますが,はありませんが,はします,も満足しています,は悪いです,がいいですね,がよいです,が高いと,になります,はしました,が感じます,のある,が高いので,をする,といい,にありません,はよいです,が良くない,もなく,は良いのですが,も悪くなく,が悪いので,は良いですね,は思いますが,はあり,も含めて,はよいと,もいいですね,には満足しています,が良くなりました,を考えて
weight,"",0.00300152707455911,0.00210485414349542,0.00174534341152577,0.00157180290852038,0.00139209736182097,0.00127067363719413,0.0012307927468202,0.00109786170607664,0.00106272202250251,0.00104409896464154,0.000893151735948035,0.000883980211913154,0.000873443432750576,0.00080359796293889,0.000762921792920339,0.000722666854923012,0.00069006493933144,0.000681127925113655,0.000650467619621204,0.000631033244285193,0.000630418479907915,0.000613714960478552,0.000611268448337807,0.000553411476239026,0.000513216008937936,0.000507836054423617,0.000489055542248453,0.000488771201209498,0.000469349309377283,0.00044670381980977,0.000442720526242735,0.000440207612450329,0.000405988341762518,0.000379456899283971,0.000377821123909891,0.000376530216391336,0.000363291139731739,0.000356656104180474,0.000336532163563271,0.000333436830712007,0.000315386013882088,0.000313034838042396,0.000308919830473169,0.000306774576381645,0.000301865358222109,0.000287068926129214,0.000274891202808955,0.0002736846256031,0.000269262354663284,0.000269198554832463,0.000268775236572345,0.00026459881690999,0.00026229383452431,0.00025916609728907,0.000256563047831373,0.000248405306828877,0.000247020487054292,0.000241765255042775,0.000240698468140447,0.000236885639694832,0.000229259033209887,0.000223932024228381,0.000222302063750562,0.000220184046092585,0.000217887866843569,0.000215585459214322,0.000215491621379117,0.000215230303492848,0.000213229099957517,0.000204408991742667,0.000203028506459864,0.00019565792467509,0.000191244916406006,0.000189670664885161,0.000186143683135677,0.000186114656263723,0.00018569369925941,0.00018540788520879,0.000182124680116578,0.000178369117955219,0.000170543589657622,0.000167308032956537,0.000166068396790103,0.000166022988101193,0.000164606446749248,0.000163375036028676,0.000162798380109494,0.000162492062539707,0.000160971892270574,0.000159115806510934
写り,0.00127940056581202,7,4,0,2,4,4,4,5,1,6,1,1,0,5,0,2,0,4,0,0,1,0,2,0,1,0,1,2,7,0,3,2,0,1,4,2,0,2,0,0,1,3,0,8,0,2,0,1,0,0,0,4,0,1,1,0,2,0,0,1,0,2,1,0,0,0,0,3,0,0,0,0,18,0,2,0,0,0,1,1,0,0,0,2,0,2,0,3,0,0
デザイン,0.00119676640027662,1,7,0,0,3,7,2,11,2,0,1,0,0,1,0,1,1,11,0,2,0,1,4,0,1,0,2,6,3,0,2,2,3,0,2,0,0,0,0,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,4,2,3,1,0,4,0,0,1,1,0,1,0,0,1,0,1,0,0,2,1,0,2,3,5,2,3,0,0,0,0
気持ち,0.000923206631973935,13,7,0,0,0,0,0,0,2,1,0,9,0,9,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,0.00076291234023795,2,8,0,6,6,6,1,1,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
レンズ,0.000744080809664331,5,1,0,1,1,1,10,2,0,8,0,0,0,1,0,2,0,6,1,0,0,0,0,0,0,1,0,3,4,0,1,1,0,0,0,1,0,0,0,0,1,3,0,1,0,0,5,1,0,0,0,1,0,0,4,2,1,1,0,2,2,6,0,0,2,0,0,3,2,1,0,0,1,1,1,2,0,1,0,0,0,0,1,5,2,0,0,0,0,0
評判,0.000723093864796426,14,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
完成度,0.000706511426205874,0,0,37,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,1,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
発色,0.000694614946055375,1,0,0,2,3,3,2,0,0,1,6,0,0,3,0,0,1,2,0,4,1,0,0,0,1,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,3,0,1,0,0,2,2,0,0,1,2,0,1,0,0,0,1,1,0,0,0,0,0
性能,0.000685041189175352,5,2,1,0,0,3,0,3,0,1,0,0,2,2,12,1,0,4,1,0,0,4,0,0,0,2,1,3,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,3,0,2,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
描写,0.000650224198629135,2,0,0,0,1,6,5,0,0,4,0,1,0,1,1,4,0,5,1,3,0,0,0,0,0,0,2,0,0,1,1,1,1,0,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,5,0,2,0,1,1,0,1,0,0,0,0,0,7,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,4,2,0,0,3,0,0
不満,0.000593388538185884,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,14,0,0,22,0,0,0,0,4,0,0,0,0,17,26,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
色乗り,0.000523922051375957,2,1,0,0,2,5,1,0,1,0,3,2,0,0,0,0,0,1,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
解像度,0.000523464027563451,0,1,5,1,0,1,1,0,0,2,1,0,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,2,0,0,0,1,0,8,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
精度,0.000522233265887488,2,2,1,2,2,1,1,2,0,1,0,0,4,0,0,0,0,0,1,1,0,1,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
価格,0.000513158291326308,0,0,0,0,0,0,0,0,0,0,0,0,9,0,45,0,0,3,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,27,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
色のり,0.000431673352969405,1,0,0,0,1,0,1,1,1,0,6,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0
相性,0.000430079225927974,1,2,0,0,1,3,0,1,2,1,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,1,2,1,0,0,0,2,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AF精度,0.000416853405680935,1,0,1,2,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
値段,0.000411576716933463,0,0,1,0,0,0,0,0,1,0,0,0,9,0,27,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,17,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,1
もち,0.00040768619392595,0,1,0,7,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
コントラスト,0.000404361259061483,1,1,11,0,0,1,0,0,0,0,0,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,0.000401781318183421,0,2,0,0,1,0,6,1,2,2,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
評価,0.000367471998323966,1,0,12,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ホールド性,0.000360855986007693,0,1,0,2,4,0,2,0,2,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天気,0.000356336216508258,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感じ,0.00034898595861972,0,4,0,0,0,0,3,1,1,6,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,1,0,0,2,0,0,0,0,6,0,4,0,0,1,1,0,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
使用頻度,0.000346460035108964,0,0,10,0,0,0,0,0,0,1,0,0,11,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カメラ,0.000339505354380513,3,0,0,0,0,0,2,1,0,6,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,3,0,1,0,0,1,1,2,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,1,0,1,0,4,0,0
液晶,0.000335432719140568,1,1,0,0,0,0,7,2,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,2,1,0,0,1,2,0,1,0,0,1,0,0,2,2,1,0,0,0,0,0,0
質,0.000332788658042094,4,0,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
視認性,0.000328144532366684,2,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
機能,0.000315878461010757,0,3,0,1,0,0,0,1,0,4,0,0,0,1,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,12,0,0,0,1,0,2,0,0,10,2,0,2,0,0,0,0,1,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,1
解像感,0.000308570947767849,0,0,1,1,0,2,1,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,8,1,0,4,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,6,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
感度,0.000304472180416254,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
重量バランス,0.000289916660169923,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
出来,0.000280147783344601,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写力,0.00027355021210626,0,0,0,0,0,1,1,1,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,3,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
バッテリー,0.000270398808831456,0,1,0,0,0,0,5,1,0,9,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,6,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
色,0.000270071389996699,0,1,0,2,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
画像,0.000269384681466454,0,1,0,1,0,0,2,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,5,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
大きさ,0.000266135688580913,0,0,0,0,0,1,2,1,2,2,0,1,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
補正,0.000263939146004432,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,3,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,2,0,0,0,0,0,9,0,1,1,0,0,0,0,0,0,7,0,3,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0
重さ,0.000262609695576755,0,3,0,0,0,2,2,0,0,1,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
満足感,0.000253419748979172,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AF,0.000250433589155891,0,1,0,1,0,0,2,0,0,6,0,1,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,2,3,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機能性,0.000242226931613257,0,0,0,0,1,0,3,3,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,3,2,0,1,0,1,0,0
ヌケ,0.000237810140777776,5,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ味,0.00023758966626842,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作感,0.000235730689207395,0,1,0,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
