"",weight,の良い,が良い,の高い,が悪い,が良く,も良く,は良いです,は良いと,が良いです,はありません,が高い,もよく,がいいです,がいい,を考えると,は高いです,が良いと,は思います,がよく,は高いと,も良いです,のよい,がよい,も良いと,の取れた,は良好です,に優れた,はいいと,が良いので,はいいです,も良い,は良い,もいいです,が高いです,は最高です,は良く,が悪いと,が悪く,を考えれば,が高く,のとれた,のある,があります,があり,もありません,もいい,がいいと,が悪いです,も高く,がいいので,は感じです,はあります,が高いと,はいいですね,は抜群です,は高い,も良いので,はありますが,の悪い,が弱いです,が良くて,も良好です,はありませんが,になります,はします,はしました,も満足しています,が高いので,は悪いです,がいいですね,がよいです,が感じます,といい,をする,がある,もなく,は良いのですが,はよいです,にありません,が良くない,はあり,も悪くなく,も含めて,は思いますが,は良いですね,が悪いので,はよいと,もいいですね,には満足しています,をします,を考えて,が良くなりました,は最高だと,は気に入っています,は高く,は満足しています,もありますが,は感じます,で満足しています,は悪くないと
weight,"",0.00342195776986549,0.00241569894994482,0.00230115811898921,0.00175042942378474,0.00156863847314622,0.00143983638921521,0.00140898748382395,0.00126140541233715,0.00122162860468805,0.00121713659526284,0.00111247367852257,0.00100926883345397,0.000998084086852781,0.000921059007582664,0.000893188878943112,0.000874929818944265,0.000814912588367231,0.000810886715113371,0.000788497306714616,0.000756555058497366,0.000732936750096684,0.000706875113351808,0.000696362139101152,0.000693057265162019,0.000614984671950642,0.000577032297071249,0.000576566380839512,0.000556029398650247,0.000554432028012631,0.000540124427535536,0.000530192719185606,0.000499768596112269,0.000466046252577403,0.000461828229328054,0.000450957871002584,0.00042767025903581,0.000426391801074472,0.000420822590440328,0.000417979732741417,0.000393344736209695,0.00037010136449436,0.000367458285625834,0.00036036788788632,0.000360332549147121,0.000358178640063492,0.000355540127838534,0.000353552579839118,0.000347399157514585,0.000339344611892193,0.000326861898708612,0.000317463622450411,0.000316397364047146,0.000312563630611607,0.00030988552765971,0.000308002787120325,0.000306981976856854,0.00030364719025265,0.000282777172634622,0.000279966301219993,0.000277818508285779,0.000277535679077039,0.000272422477632701,0.000269150655659479,0.000266362070643457,0.000263357200054079,0.000261095036368668,0.000257672699422362,0.000251208737287897,0.000248305150375632,0.000246843853556767,0.00024356368046073,0.00023271346290318,0.000224015801404568,0.000219619614780366,0.000215633697331856,0.000214008310855875,0.000211182547241489,0.000211135457528173,0.000210372338621771,0.000209094966806145,0.000205518174824648,0.000201187062311495,0.000194620464414721,0.000191771056470206,0.000191627935507323,0.000191567832589617,0.00018924095691482,0.000188577540666984,0.000186938969503543,0.00018216985859835,0.000180882566514575,0.000180795262886416,0.000180102412103476,0.000179260282695485,0.000176317469726294,0.000175225516819595,0.00017287301814478,0.000168036473351192,0.000165443095266723,0.000163204736256576
質感,0.0018277441310037,1,4,5,1,5,5,4,4,2,2,9,2,1,4,0,2,1,2,1,2,2,0,1,3,0,1,0,2,0,5,6,0,5,2,4,0,0,0,0,6,0,2,3,4,0,0,0,0,4,0,4,6,2,1,0,2,0,3,0,0,1,2,1,0,1,0,1,0,0,2,0,1,4,0,1,1,1,1,0,0,1,1,3,1,1,0,0,0,2,0,0,1,0,1,0,0,1,2,0,1
写り,0.00159889781364644,7,4,0,2,4,4,4,5,1,6,0,1,1,5,0,0,2,4,0,0,0,1,0,2,0,1,0,2,1,7,2,3,0,0,4,2,1,0,2,0,0,0,0,0,8,3,1,0,1,2,1,1,0,4,0,0,0,1,0,0,2,0,0,3,2,0,1,0,0,0,0,0,0,18,0,0,1,0,2,0,2,1,0,0,0,0,2,0,3,17,0,0,1,0,0,3,0,1,0,0
デザイン,0.00155912837300179,1,7,0,0,3,7,2,11,2,0,0,1,0,1,0,0,1,11,1,0,2,0,1,4,0,1,0,6,2,3,2,2,3,0,2,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,5,2,0,0,0,0,0,4,0,0,0,0,2,1,3,1,1,0,0,4,0,0,1,0,0,0,2,1,0,0,5,1,2,3,2,0,3,0,0,0,0,0,1,13,1,2,0,5,0,3
気持ち,0.0010513984728838,13,7,0,0,0,0,0,0,2,1,0,0,9,9,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
完成度,0.000949074013793544,0,0,37,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,1,0,0,0,3,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
レンズ,0.000875870498767749,5,1,0,1,1,1,10,2,0,8,0,0,0,1,0,1,2,6,0,1,0,0,0,0,0,0,0,3,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,5,1,3,1,0,0,0,1,4,0,1,0,1,0,2,2,0,1,0,2,3,6,2,0,0,0,2,0,1,1,1,5,1,0,2,1,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
レスポンス,0.00087074734456629,2,8,0,6,6,6,1,1,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
描写,0.000844528145845283,2,0,0,0,1,6,5,0,0,4,0,0,1,1,1,1,4,5,0,0,3,0,0,0,0,0,1,0,2,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,1,1,0,0,2,1,0,7,1,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,4,0,2,0,0,0,0,0,3,15,0,0,0,0,0,2,0,0,0,0
評判,0.000831717388572826,14,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
性能,0.000825434804263616,5,2,1,0,0,3,0,3,0,1,2,0,0,2,12,1,1,4,0,2,0,0,4,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,5,1,0,0,2,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,1,0
発色,0.000808938966393512,1,0,0,2,3,3,2,0,0,1,0,6,0,3,0,0,0,2,1,0,4,1,0,0,0,1,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4,0,1,0,0,1,2,2,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
不満,0.000736893269497946,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,14,15,0,0,0,0,0,0,4,0,0,0,0,0,17,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
解像度,0.000694037963834976,0,1,5,1,0,1,1,0,0,2,6,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,2,0,0,8,0,2,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
精度,0.000646288659950164,2,2,1,2,2,1,1,2,0,1,4,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
価格,0.000641290095876347,0,0,0,0,0,0,0,0,0,0,9,0,0,0,45,1,0,3,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0
色乗り,0.00059483299807955,2,1,0,0,2,5,1,0,1,0,0,3,2,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
コントラスト,0.00051388640849925,1,1,11,0,0,1,0,0,0,0,5,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
値段,0.000505103756515071,0,0,1,0,0,0,0,0,1,0,9,0,0,0,27,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
色のり,0.000499880804984723,1,0,0,0,1,0,1,1,1,0,0,6,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
