"",weight,の高い,は高いです,が高い,の良い,は高いと,が良い,が悪い,が高いです,に優れた,は良いです,は良いと,も良く,が良く,を考えると,はありません,が良いです,が高く,は思います,は高い,が高いと,もよく,は最高です,がいいです,がいい,も高く,があります,が良いと,はしました,も良いと,がよい,が高いので,は5です,も良いです,がよく,を考えれば,のよい,はいいです,はいいと,は高く,のある,は良好です,はあります,は満点です,があり,が良いので,も良い,は最高だと,が弱いです,も高い,は良い,もいいです,の取れた,もありません,は良く,が悪いと,がある,は抜群です,はいいですね,はしましたが,は感じです,はあると,もいい,が悪く,がいいので,はありますが,があると,は最高ですね,はします,をしました,が悪いです,はありませんが,に優れていると,のとれた,がいいと,に優れている,は高いですね,は素晴らしいです,もいいですね,といい,の悪い,は抜群だと,も含めて,も良いので,が低い,は抜群,はよいと,は大満足です,になります,も良好です,が良くて,から考えると,はものです,はあり,は5と,も満足しています,を持った,は良いのですが,は思いますが,をする,は良いですね
weight,"",0.0253528279240939,0.0112357653342447,0.0107022929079077,0.010625463785302,0.00830259186416325,0.00787195860853159,0.00590551635022982,0.0056890103204326,0.00564845041507069,0.00519848948900567,0.00507004027590216,0.0047525092334235,0.00469350775024833,0.00446064436343587,0.00407674917498081,0.00339413193701064,0.00335275883055726,0.00330101099135675,0.00328052613667087,0.00321338044289045,0.00318023312315494,0.00304415295655969,0.00284091483284515,0.00275258118494633,0.00261784330748963,0.00261783405174452,0.00258369466040041,0.00237425120869421,0.00235308559379594,0.00229717238004218,0.00222818055023103,0.00216681932327449,0.00206238392109223,0.00203012674683962,0.00202920988452769,0.00202811839945411,0.00191393884841863,0.00182008390085337,0.00177246740638712,0.00174868974578493,0.00172879382556769,0.00168685921516098,0.00168360524661261,0.00165885210054706,0.00159579454148556,0.00154616640334353,0.0015381699034231,0.00153102374729989,0.00151677986613563,0.00145837024716524,0.00145541997476917,0.0014365722838911,0.00138377419109785,0.00137458598746731,0.00132359291281949,0.00129631437408961,0.00127691634708549,0.00127420774158384,0.00126026782140327,0.0012598436322637,0.0012575724183912,0.00124900015918379,0.00124076987589645,0.00119455962994857,0.00117923750757518,0.0011698747128703,0.00116526248744323,0.00115478605089873,0.00112715251159522,0.00104635606589152,0.00103959180303046,0.00101346226821611,0.00101092123681225,0.001010100308617,0.000992706845535483,0.000992378884687465,0.000938669196446123,0.000935147463354744,0.000924804560544594,0.000919423966183281,0.000886820435452156,0.000884421064002663,0.000879845006688778,0.000874812445097941,0.000874073976782604,0.000867250889457407,0.000862747394010539,0.000860834830557548,0.000858055503539255,0.000855788934172351,0.000852223436827943,0.000847392625520599,0.000835621628478372,0.000828929689530143,0.000828500271968633,0.000824927899213234,0.00080527975615755,0.000804610139668195,0.000796075292604358,0.000792168740087637
持ち,0.00733992365356256,0,0,0,0,0,22,30,0,0,5,6,0,0,0,7,4,0,0,0,0,0,1,1,9,0,0,2,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,2,5,1,1,2,0,2,0,0,6,6,1,0,0,2,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,2
ホールド感,0.00688527681144643,0,1,1,3,0,3,5,0,0,14,4,6,5,0,9,2,1,4,0,0,5,0,1,1,0,1,1,2,0,0,0,0,4,1,1,0,2,0,0,0,9,3,1,2,3,1,0,0,0,7,3,0,5,1,0,0,4,0,2,3,0,3,3,1,0,1,0,3,0,0,2,0,0,1,0,0,0,0,2,0,0,0,4,0,0,1,0,0,2,1,0,0,2,0,2,0,3,2,0,1
評価,0.0065419019342579,12,2,4,1,0,0,0,2,0,0,1,0,0,0,0,0,4,0,0,3,0,1,0,0,0,1,0,4,0,0,1,6,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,1,2,0
写り,0.00560412741251512,0,0,0,7,0,4,2,0,0,4,5,4,4,0,6,1,0,4,0,0,1,4,1,5,1,0,2,0,2,0,0,0,0,0,2,1,7,2,0,0,1,1,0,0,1,2,1,0,0,3,0,0,8,2,1,0,0,4,1,1,0,3,0,2,1,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,4,3,0,2,0,3,2,0,1,1,1,0,18,0
解像度,0.00556157788713415,5,2,6,0,0,1,1,2,0,1,0,1,0,0,2,0,8,1,0,0,1,0,0,0,7,0,0,1,0,0,2,0,0,0,0,0,0,0,4,2,0,0,0,1,0,1,0,0,2,1,0,0,0,1,2,3,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
デザイン,0.00526559750373232,0,0,0,1,0,7,0,0,0,2,11,7,3,0,0,2,0,11,0,0,1,2,0,1,0,0,1,1,4,1,0,1,2,1,0,0,3,6,1,1,1,2,1,0,2,2,1,0,0,2,3,0,1,0,0,0,0,0,0,5,5,2,0,0,4,0,1,3,0,0,2,0,0,1,0,0,0,0,1,0,0,2,0,0,0,3,0,1,0,0,0,0,5,0,1,0,2,3,0,2
使用頻度,0.0047702867909307,10,2,11,0,0,0,0,4,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
価格,0.00467725737000219,0,1,9,0,3,0,0,1,0,0,0,0,0,45,0,0,1,3,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0
性能,0.00422288362650535,1,1,2,5,2,2,0,0,0,0,3,3,0,12,1,0,1,4,0,1,0,0,0,2,0,2,1,0,0,4,0,0,0,0,5,0,0,3,1,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,4,0,1,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,3,0,0,6,0,0,2,1,0,0,0,0,5,0,1,0,0
コントラスト,0.00416605581207894,11,0,5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
精度,0.00370924627547623,1,1,4,2,0,2,2,1,0,1,2,1,2,0,1,0,0,0,2,0,0,0,0,0,3,1,0,0,2,1,3,0,1,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
満足感,0.00369708499261066,7,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
値段,0.00348041281295144,1,1,9,0,0,0,0,2,0,0,0,0,0,27,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
レンズ,0.00346302698701131,0,1,0,5,1,1,1,0,0,10,2,1,1,0,8,0,0,6,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,4,3,0,0,0,4,0,5,0,1,0,0,0,1,0,0,1,1,0,5,0,1,0,1,4,3,0,0,2,2,1,6,0,0,2,0,0,1,0,0,0,0,1,2,0,2,0,0,0,0,1,3,0,1,0,1,5,0,0,1,0,1,1,0
評判,0.00293161867003687,3,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,0.00292978939611022,0,0,0,13,0,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,9,9,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
解像感,0.00280833265250886,1,0,2,0,2,0,1,2,0,1,1,2,0,0,0,0,2,0,1,1,1,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,1,6,0,2,0,8,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
描写,0.00275509223299363,0,1,0,2,0,0,0,0,1,5,0,6,1,1,4,0,0,5,0,0,0,1,1,1,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,2,1,0,0,0,1,1,0,0,3,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,7,1,2,0,0,4,0,0,0,0,0,17,0
レスポンス,0.00271344680114682,0,0,0,2,0,8,6,0,0,1,1,6,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0
不満,0.00269477682879441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,14,0,0,0,0,0,0,0,0,15,0,0,16,0,0,0,0,0,0,0,0,17,6,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
発色,0.00247239734891217,0,0,0,1,0,0,2,0,0,2,0,3,3,0,1,0,0,2,0,0,6,2,0,3,0,0,0,0,0,0,0,0,4,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,4,0,0,0,2,0
CP,0.00245615079608445,4,1,1,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF精度,0.00232832153645236,1,1,1,1,0,0,2,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
カメラ,0.0021846279000569,0,0,1,3,1,0,0,0,0,2,1,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,1,0,0,0,1,2,0,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,3,0,1,0,1,1,0,0,3,0,3,2,1
機能,0.00210222783224359,0,1,0,0,0,3,1,0,1,0,1,0,0,8,4,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,1,0,10,0,1,0,0,0,0,0,0,2,0,0,5,0,0,0,2,1,1,0,0,4,2,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,1,0,0
機能性,0.00196020158193223,0,0,1,0,0,0,0,0,0,3,3,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,1,1,0,4,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,0,3,0,0
お買い得感,0.00191812325279919,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色乗り,0.00188740466517294,0,0,0,2,0,1,0,0,0,1,0,5,2,0,0,1,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
描写力,0.00178836534933367,0,0,1,0,0,0,0,0,1,1,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,4,0,4,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
汎用性,0.00174586148734353,2,0,1,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
質,0.00172204927892965,2,1,1,4,0,0,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
相性,0.00166230508447695,0,0,0,1,0,2,0,0,0,0,1,3,1,0,1,2,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,3,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感度,0.00158542774086317,2,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
レベル,0.00157165312072976,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
液晶,0.00154104883693151,0,0,0,1,0,1,0,0,0,7,2,0,0,0,1,0,0,5,1,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,2
色のり,0.00152101560047759,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
機動性,0.00140869713998193,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
感触,0.00140316320221688,0,0,0,0,0,2,0,0,0,6,1,0,1,1,2,2,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
もち,0.00138898425506363,0,0,0,0,0,1,7,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
価値,0.00138846545584434,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,22,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
補正,0.00135214840184916,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,7,0,2,0,1,0,0,0,0,0,0,0,0,2,2,0,5,0,2,0,1,1,0,0,0,0,1,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,3,1
ホールド性,0.00134282001048861,0,0,1,0,0,1,2,0,0,2,0,0,4,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
表現力,0.00134259462820364,0,0,0,0,0,0,0,0,1,3,1,1,1,3,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
