"",weight,の高い,の良い,は高いです,が高い,が良い,は高いと,が悪い,は良いです,が高いです,は良いと,が良く,も良く,に優れた,はありません,を考えると,が良いです,もよく,は思います,が高く,がいいです,は高い,がいい,が高いと,は最高です,が良いと,があります,が弱いです,がよい,も高く,も良いと,がよく,のよい,はしました,も良いです,が高いので,を考えれば,はいいです,はいいと,は良好です,は5です,のある,が良いので,は高く,があり,はあります,も良い,の取れた,もいいです,は良い,は満点です,は良く,が悪いと,もありません,も高い,が悪く,は最高だと,がある,は感じです,もいい,は抜群です,はいいですね,がいいので,はあると,はありますが,はしましたが,が悪いです,があると,はします,のとれた,がいいと,は最高ですね,はありませんが,をしました,の悪い,も良いので,といい,も良好です,が良くて,に優れている,もいいですね,は高いですね,になります,は素晴らしいです,も満足しています,に優れていると,が低い,も含めて,はあり,はよいと,は悪いです,は良いのですが,は思いますが,はものです,は良いですね,がいいですね,が感じます,は抜群,にありません,から考えると,がよいです
weight,"",0.0264944990323531,0.0126334775979987,0.0116788080032016,0.0113997720556263,0.00950096878305902,0.00842933329916548,0.00835603496825957,0.00607374481785471,0.00601953304369596,0.00572598379059083,0.00564310551744552,0.0056066263549054,0.00557302626747403,0.00485501081436216,0.00484687261221045,0.00415165934659524,0.00378381105436638,0.00372476695722394,0.00357539329486009,0.00350468046114799,0.00347375617579413,0.00331734763581219,0.00330774684955398,0.00317942729496446,0.00305309323258986,0.0029033285912873,0.00288770057988531,0.00283969743603534,0.00281855393940943,0.00273295702907709,0.00247589431198911,0.0024678845957371,0.00246787862334221,0.00245695975537442,0.00241000461690778,0.00222822275904836,0.00219112599261943,0.00213750697330616,0.00208389106029366,0.00201263494081749,0.00196945233083276,0.00192139288387541,0.00189674193145173,0.00189378336075635,0.00188346792088041,0.00181345068032523,0.00175223819856744,0.00174002253243867,0.00173310467600765,0.00169543927806425,0.00165768704714427,0.00160779420466401,0.00160590230774204,0.00157600448158324,0.00152566555975854,0.0015211242365908,0.00146437578419663,0.00144990974805502,0.00144594204589281,0.00141775569382564,0.00141110218962048,0.00139927220016309,0.00139083111982408,0.00134594302925148,0.00131863991368069,0.00131327837165761,0.00130694851505117,0.00130038754674219,0.00123305651010301,0.00122146544580979,0.00121475373910193,0.00120252212408609,0.00112776668256763,0.00110034258065495,0.00105959582840002,0.00103016883255844,0.00102293615525103,0.00102023238968314,0.001012095165665,0.00100486395802094,0.00100476815947051,0.000998892535981109,0.000996174587054751,0.000995187023324575,0.000992726595828822,0.000984743629974368,0.000964110491400203,0.000955240032812727,0.00094382644923778,0.000936662392923751,0.000934742106907971,0.000916345473421221,0.000913764569358703,0.00090226089261349,0.000891220728661028,0.000879853459280647,0.000876841186934316,0.000873124059226046,0.000866453997426668,0.000865084144705416
持ち,0.00965805090087943,0,0,0,0,22,0,30,5,0,6,0,0,0,7,0,4,0,0,0,1,0,9,0,1,2,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,2,5,0,0,6,0,1,2,0,1,2,6,0,1,0,9,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,0,1,0,0,0,1
ホールド感,0.00835107788279641,0,3,1,1,3,0,5,14,0,4,5,6,0,9,0,2,5,4,1,1,0,1,0,0,1,1,0,0,0,0,1,0,2,4,0,1,2,0,9,0,0,3,0,2,3,1,0,3,7,1,1,0,5,0,3,0,0,3,3,4,0,1,0,0,2,0,1,3,0,1,0,2,0,0,4,2,2,1,0,0,0,0,0,2,0,0,0,2,1,1,3,2,0,1,0,1,0,2,0,1
評価,0.00638147429781441,12,1,2,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,3,1,0,1,0,0,0,0,0,0,4,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
写り,0.00630489942784818,0,7,0,0,4,0,2,4,0,5,4,4,0,6,0,1,1,4,0,1,0,5,0,4,2,0,0,0,1,2,0,1,0,0,0,2,7,2,1,0,0,1,0,0,1,2,0,0,3,0,2,1,8,0,0,1,0,1,3,0,4,2,0,1,1,0,0,2,0,1,0,0,2,0,0,0,0,2,0,0,0,3,1,1,0,0,0,2,2,0,1,0,3,0,0,0,1,2,0,0
デザイン,0.00621248899726551,0,1,0,0,7,0,0,2,0,11,3,7,0,0,0,2,1,11,0,0,0,1,0,2,1,0,0,1,0,4,1,0,1,2,0,0,3,6,1,1,1,2,1,0,2,2,0,3,2,1,0,0,1,0,0,1,0,5,2,0,0,0,5,4,0,0,0,3,0,1,1,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,5,3,0,2,3,0,2,4,0,0,0,0,0
解像度,0.00601520780130394,5,0,2,6,1,0,1,1,2,0,0,1,0,2,0,0,1,1,8,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,2,0,0,0,0,0,2,0,4,1,0,1,0,0,1,0,1,2,0,2,0,0,3,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0
使用頻度,0.00504255441033803,10,0,2,11,0,0,0,0,4,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
価格,0.00503990005602491,0,0,1,9,0,3,0,0,1,0,0,0,0,0,45,0,0,3,1,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,6,1
コントラスト,0.00452713786923554,11,1,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,5,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
性能,0.00443344905286523,1,5,1,2,2,2,0,0,0,3,0,3,0,1,12,0,0,4,1,0,0,2,1,0,1,2,0,4,0,0,0,0,0,0,0,5,0,3,0,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,4,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,1,1,0,1,1,0
精度,0.00414481567612394,1,2,1,4,2,0,2,1,1,2,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,3,2,0,0,0,1,3,0,0,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
レンズ,0.00404702851543809,0,5,1,0,1,1,1,10,0,2,1,1,0,8,0,0,0,6,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,3,0,0,0,0,0,5,4,1,0,0,1,0,1,0,1,0,0,0,5,1,3,0,1,0,4,2,0,0,2,6,0,1,1,2,0,2,0,1,0,1,0,0,0,3,0,0,0,0,2,5,0,0,0,1,1,0,2,1,0,1,0,0
満足感,0.00389199700747437,7,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,0.00377257249122294,0,13,0,0,7,0,0,0,0,0,0,0,0,1,0,2,0,0,0,9,0,9,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
値段,0.00373842593478692,1,0,1,9,0,0,0,0,2,0,0,0,0,0,27,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,17,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0
評判,0.00350054420048759,3,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AF精度,0.00345154926977899,1,1,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
レスポンス,0.00334018770048718,0,2,0,0,8,0,6,1,0,1,6,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
不満,0.00315804465788999,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,4,0,0,0,0,0,0,0,15,0,0,0,16,0,0,0,0,0,0,17,0,0,6,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写,0.0031298739054739,0,2,1,0,0,0,0,5,0,0,1,6,1,4,1,0,0,5,0,1,0,1,0,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,5,1,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,7,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
解像感,0.00305355070379092,1,0,0,2,0,2,1,1,2,1,0,2,0,0,0,0,1,0,2,0,1,0,1,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,1,8,2,0,0,0,0,0,0,0,0,3,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
発色,0.00300778005572116,0,1,0,0,0,0,2,2,0,0,3,3,0,1,0,0,6,2,0,0,0,3,0,2,0,0,0,0,0,0,1,1,0,4,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,4,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
CP,0.00254930899265027,4,0,1,1,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カメラ,0.00231031073762356,0,3,0,1,0,1,0,2,0,1,0,0,0,6,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,3,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,1,0,1,1,1,0,2,2,0,1,0,1,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,1,1,0,0,3,1,1,0,0,0,0,0,0
色乗り,0.00224143824871333,0,2,0,0,1,0,0,1,0,0,2,5,0,0,0,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機能,0.00219581633855564,0,0,1,0,3,0,1,0,0,1,0,0,1,4,8,0,0,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,10,1,1,0,0,0,0,0,0,2,0,0,0,5,2,1,0,0,0,1,4,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
ボディ,0.00215484616601848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
質,0.00198841705030081,2,4,1,1,0,0,2,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
お買い得感,0.00197243270175858,2,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写力,0.00195703736946832,0,0,0,1,0,0,0,1,0,1,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,4,1,1,0,4,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
感度,0.0019252185287504,2,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
機能性,0.00192191848789864,0,0,0,1,0,0,0,3,0,3,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3,0,1,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,3,1,0,0,0,0,0,0,0
汎用性,0.00183064581942295,2,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もち,0.00180305640422259,0,0,0,0,1,0,7,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
色のり,0.0017902686177151,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
液晶,0.00178547753852132,0,1,0,0,1,0,0,7,0,2,0,0,0,1,0,0,0,5,0,0,1,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,2,0,1,0,0,0,0
感触,0.00177615690818226,0,0,0,0,2,0,0,6,0,1,1,0,0,2,1,2,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
相性,0.00176274471494141,0,1,0,0,2,0,0,0,0,1,1,3,0,1,0,2,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,3,0,0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感じ,0.0016774552606886,0,0,0,0,4,0,0,3,0,1,0,0,0,6,0,1,0,0,0,2,0,1,0,2,0,5,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,2,0,0,2,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,6,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
掛かり,0.00165723858589054,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レベル,0.00164431050401731,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド性,0.00162679306055944,0,0,0,1,1,0,2,2,0,0,4,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
視認性,0.00157259480730823,0,2,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
