"",weight,の良い,が良い,が悪い,が良く,も良く,は良いです,が良いです,は良いと,がいいです,もよく,はありません,がいい,が良いと,がよく,を考えると,のよい,も良いと,も良いです,がよい,は思います,は良好です,の取れた,はいいと,が良いので,はいいです,は良い,もいいです,の高い,が悪いと,が悪く,は良く,も良い,が高い,のとれた,が悪いです,がいいと,がいいので,を考えれば,もいい,が良くて,は抜群です,は最高です,もありません,も良いので,も良好です,は感じです,がよいです,の悪い,はいいですね,がいいですね
weight,"",0.00936293599548242,0.00672477921104889,0.00445482534771315,0.00436953263649481,0.0039430753259295,0.00375597994384059,0.00346750808212695,0.00334922574949657,0.00292437178793581,0.00273887902137627,0.00256697172496972,0.00256616416493645,0.00235126715078996,0.0020336907763503,0.00202923162013091,0.00200067625204217,0.00189029106698779,0.00184013474152461,0.00181402446097923,0.00178709592354469,0.0017282509330657,0.00157951935954342,0.00149496373041013,0.00146393778688955,0.00137166670957545,0.00134667298366041,0.00131164936442256,0.00124738640957545,0.00123035092676055,0.00122018737791879,0.00120528084943767,0.00116319389181136,0.0011335909006016,0.00111151362338241,0.0010916385611257,0.00100824697566586,0.000954491489992914,0.000940060022390271,0.000906570401350988,0.000840214734143258,0.000832528781816188,0.000831246205106025,0.000823362757214068,0.000820967896562919,0.000787368294171154,0.000764134912128201,0.000754723326733552,0.000743555119074804,0.000711799062757255,0.000709489255187129
感度,0.000795036512790632,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
色,0.000776957764276797,0,1,2,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0
ヌケ,0.00074592552471384,5,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
カメラ,0.000736784195804846,3,0,0,0,0,2,0,1,0,0,6,0,1,0,0,0,0,0,0,3,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
大きさ,0.000721604922757798,0,0,0,0,1,2,2,1,1,0,2,1,0,0,8,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
重量バランス,0.000718538703755488,0,0,1,3,0,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
操作感,0.000715903866040142,0,1,0,0,0,1,0,1,0,2,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
重さ,0.000711346528133907,0,3,0,0,2,2,0,0,1,0,1,2,0,0,1,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ味,0.000702366733524122,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,2,2,0,0,0,1,0
値段,0.000698826082096086,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,9,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
反応,0.000675160744491531,2,0,2,1,0,0,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
液晶,0.000669468435563234,1,1,0,0,0,7,0,2,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0
切れ,0.00065439452535483,4,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
位置,0.000643419622836382,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
画像,0.00064103851232045,0,1,1,0,0,2,0,0,0,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1
機能,0.000636363910641777,0,3,1,0,0,0,0,1,0,0,4,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,0,2,2,0,0,2,0,0,0,0
解像度,0.000635343854662793,0,1,1,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,2,0,1,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写力,0.000634607718447445,0,0,0,0,1,1,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,3,0
ボケ,0.000566635083843986,0,1,0,0,4,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0
AF,0.000564104171200458,0,1,1,0,0,2,0,0,1,0,6,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0
補正,0.000550683397721508,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0
バッテリー,0.000542626455244846,0,1,0,0,0,5,0,1,0,0,9,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,1,0
コントラスト,0.000541954594293846,1,1,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
音,0.000536971899911542,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
取り回し,0.000517542521704185,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色合い,0.000496931498453122,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
条件,0.000493276463235628,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ホールド,0.000491112955480844,0,1,0,0,0,5,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
解像感,0.000484048339527353,0,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
